    QEHJIW,       Fe4, 3,        O4, 1.985, 0.552
    QEHJIW,       Fe4, 3,        O2, 2.005, 0.523
    QEHJIW,       Fe5, 3,       O17, 2.225, 0.288
    QEHJIW,       Fe5, 3,        O8, 1.954, 0.600
    QEHJIW,       Fe5, 3,        O7, 2.078, 0.429
    QEHJIW,       Fe5, 3,       Cl5, 2.254, 0.642
    QEHJIW,       Fe5, 3,        O4, 1.946, 0.613
    QEHJIW,       Fe5, 3,        O3, 2.058, 0.453
    QEHJIW,       Fe2, 3,       O17, 2.246, 0.273
    QEHJIW,       Fe2, 3,       O11, 1.955, 0.598
    QEHJIW,       Fe2, 3,       O10, 2.071, 0.437
    QEHJIW,       Fe2, 3,        O7, 2.074, 0.434
    QEHJIW,       Fe2, 3,        O6, 1.953, 0.602
    QEHJIW,       Fe2, 3,       Cl2, 2.271, 0.613
    QEHJIW,       Fe3, 3,       O17, 2.284, 0.246
    QEHJIW,       Fe3, 3,       O15, 2.009, 0.517
    QEHJIW,       Fe3, 3,       O14, 1.983, 0.555
    QEHJIW,       Fe3, 3,       O12, 1.996, 0.536
    QEHJIW,       Fe3, 3,       O11, 2.003, 0.526
    QEHJIW,       Fe3, 3,       Cl3, 2.247, 0.654
    SEFXUX,       Fe1, 3,       N2E, 2.087, 0.479
    SEFXUX,       Fe1, 3,       N1E, 2.200, 0.353
    SEFXUX,       Fe1, 3,        N1, 2.200, 0.353
    SEFXUX,       Fe1, 3,        N2, 2.087, 0.479
    SEFXUX,       Fe1, 3,       Cl1, 2.298, 0.570
    SEFXUX,       Fe1, 3,       Cl2, 2.300, 0.567
    QEHJIW,       Fe1, 3,       O17, 2.258, 0.264
    QEHJIW,       Fe1, 3,       O16, 1.985, 0.552
    QEHJIW,       Fe1, 3,       O15, 1.999, 0.531
    QEHJIW,       Fe1, 3,        O8, 1.999, 0.531
    QEHJIW,       Fe1, 3,        O6, 2.000, 0.530
    QEHJIW,       Fe1, 3,       Cl1, 2.294, 0.576
    IMUNOU,       Fe1, 3,       O14, 2.012, 0.513
    IMUNOU,       Fe1, 3,       O13, 2.012, 0.513
    IMUNOU,       Fe1, 3,        O8, 2.009, 0.517
    IMUNOU,       Fe1, 3,        O4, 2.010, 0.516
    IMUNOU,       Fe1, 3,        O2, 2.038, 0.478
    IMUNOU,       Fe1, 3,        O1, 1.913, 0.670
    IMUNOU,       Fe3, 3,       O16, 2.012, 0.513
    IMUNOU,       Fe3, 3,       O12, 2.022, 0.499
    IMUNOU,       Fe3, 3,       O11, 2.039, 0.477
    IMUNOU,       Fe3, 3,        O6, 2.003, 0.526
    IMUNOU,       Fe3, 3,        O5, 2.020, 0.502
    IMUNOU,       Fe3, 3,        O1, 1.928, 0.644
    IMUNOU,       Fe2, 3,       O15, 2.069, 0.440
    IMUNOU,       Fe2, 3,       O10, 2.008, 0.519
    IMUNOU,       Fe2, 3,        O9, 2.033, 0.485
    IMUNOU,       Fe2, 3,        O7, 2.034, 0.483
    IMUNOU,       Fe2, 3,        O3, 2.008, 0.519
    IMUNOU,       Fe2, 3,        O1, 1.909, 0.678
    BENGIK,       Fe1, 3,        S2, 2.250, 0.731
    BENGIK,       Fe1, 3,        S1, 2.274, 0.685
    BENGIK,       Fe1, 3,        N1, 1.949, 0.696
    BENGIK,       Fe1, 3,        N2, 1.960, 0.676
    BENGIK,       Fe1, 3,        O2, 1.905, 0.685
    BENGIK,       Fe1, 3,        O1, 1.952, 0.603
    BENGIK,       Fe2, 3,        S3, 2.420, 0.462
    BENGIK,       Fe2, 3,        S4, 2.381, 0.513
    BENGIK,       Fe2, 3,        N8, 2.066, 0.507
    BENGIK,       Fe2, 3,        N9, 2.062, 0.513
    BENGIK,       Fe2, 3,        O6, 1.955, 0.598
    BENGIK,       Fe2, 3,        O5, 1.979, 0.561
    YOMVEB,       Fe1, 3,        N4, 2.200, 0.353
    YOMVEB,       Fe1, 3,        O2, 1.944, 0.616
    YOMVEB,       Fe1, 3,        N6, 2.166, 0.387
