    ZAVNOY,        K1, 1,        O4, 2.693, 0.220
    ZAVNOY,        K1, 1,       O2E, 2.845, 0.146
    ZAVNOY,        K1, 1,       O3E, 2.826, 0.153
    ZAVNOY,        K1, 1,        O2, 2.737, 0.195
    ZAVNOY,        K1, 1,       O3B, 2.727, 0.200
    WAJGET,        K1, 1,        S2, 3.190, 0.198
    WAJGET,        K1, 1,        O8, 2.725, 0.201
    WAJGET,        K1, 1,        O7, 2.784, 0.172
    WAJGET,        K1, 1,        O6, 2.716, 0.206
    WAJGET,        K1, 1,        O5, 2.731, 0.198
    WAJGET,        K1, 1,        O4, 2.779, 0.174
    WAJGET,        K1, 1,        O3, 2.721, 0.204
    LASROO,        K1, 1,       O4A, 2.641, 0.253
    LASROO,        K1, 1,       O6A, 2.584, 0.295
    LASROO,        K1, 1,        O9, 3.176, 0.060
    LASROO,        K1, 1,       O8*, 2.580, 0.298
    LASROO,        K1, 1,        O2, 2.750, 0.188
    NISFIF,        K1, 1,       O4A, 2.792, 0.168
    NISFIF,        K1, 1,       O5A, 2.835, 0.150
    NISFIF,        K1, 1,       O6A, 2.730, 0.199
    NISFIF,        K1, 1,       O3A, 2.775, 0.176
    NISFIF,        K1, 1,        O6, 2.730, 0.199
    NISFIF,        K1, 1,        O5, 2.835, 0.150
    NISFIF,        K1, 1,        O4, 2.792, 0.168
    NISFIF,        K1, 1,        O3, 2.775, 0.176
    TUBNEJ,        K1, 1,        O5, 2.781, 0.173
    TUBNEJ,        K1, 1,        N1, 2.950, 0.155
    TUBNEJ,        K1, 1,        O6, 2.728, 0.200
    TUBNEJ,        K1, 1,        N2, 2.930, 0.164
    TUBNEJ,        K1, 1,        O4, 2.712, 0.209
    TUBNEJ,        K1, 1,        O3, 2.791, 0.168
    TUBNEJ,        K1, 1,        O2, 2.691, 0.221
    TUBNEJ,        K1, 1,        O1, 2.653, 0.245
    REDBAE,        K1, 1,       O5A, 2.807, 0.161
    REDBAE,        K1, 1,       O6A, 3.046, 0.085
    REDBAE,        K1, 1,        O8, 2.769, 0.179
    REDBAE,        K1, 1,        O7, 2.825, 0.154
    REDBAE,        K1, 1,       O3C, 2.822, 0.155
    REDBAE,        K1, 1,        O2, 2.851, 0.143
    REDBAE,        K1, 1,       O8B, 2.749, 0.189
  VEPFAX11,        K1, 1,        S1, 3.439, 0.101
  VEPFAX11,        K1, 1,       N1A, 2.936, 0.161
  VEPFAX11,        K1, 1,       O3A, 2.974, 0.103
  VEPFAX11,        K1, 1,        O2, 3.090, 0.075
  VEPFAX11,        K1, 1,        O1, 2.774, 0.176
  VEPFAX11,        K1, 1,       O2A, 2.572, 0.304
    XUNDEP,        K2, 1,        P2, 3.728, 0.053
    XUNDEP,        K2, 1,        F5, 3.085, 0.052
    XUNDEP,        K2, 1,       O10, 2.757, 0.185
    XUNDEP,        K2, 1,        F9, 2.996, 0.066
    XUNDEP,        K2, 1,        O9, 2.942, 0.112
    XUNDEP,        K2, 1,        O8, 2.782, 0.173
    XUNDEP,        K2, 1,        O7, 2.823, 0.154
    XUNDEP,        K2, 1,        O6, 2.799, 0.165
    XUNDEP,        K2, 1,        N3, 2.949, 0.155
    XUNDEP,        K2, 1,        N4, 2.958, 0.152
    XUNDEP,        K1, 1,        F2, 2.921, 0.081
    XUNDEP,        K1, 1,        P1, 3.691, 0.058
    XUNDEP,        K1, 1,        O5, 2.730, 0.199
    XUNDEP,        K1, 1,        F3, 3.014, 0.063
    XUNDEP,        K1, 1,        N1, 2.955, 0.153
    XUNDEP,        K1, 1,        N2, 3.033, 0.124
    XUNDEP,        K1, 1,        O4, 2.819, 0.156
    XUNDEP,        K1, 1,        O3, 2.846, 0.145
    XUNDEP,        K1, 1,        O2, 2.953, 0.109
    XUNDEP,        K1, 1,        O1, 2.770, 0.178
    JUXPOH,        K1, 1,        I1, 3.734, 0.099
    JUXPOH,        K1, 1,       O2C, 2.814, 0.158
    JUXPOH,        K1, 1,       O1D, 2.832, 0.151
    JUXPOH,        K1, 1,       O1C, 2.832, 0.151
    JUXPOH,        K1, 1,       O2D, 2.814, 0.158
    JUXPOH,        K1, 1,        O3, 2.710, 0.210
    JUXPOH,        K1, 1,        O2, 2.813, 0.159
    JUXPOH,        K1, 1,        O1, 2.833, 0.150
    QICQEZ,        K2, 1,       O10, 2.941, 0.112
    QICQEZ,        K2, 1,      O10A, 2.941, 0.112
    QICQEZ,        K2, 1,       O7A, 2.858, 0.141
    QICQEZ,        K2, 1,        O9, 2.774, 0.176
    QICQEZ,        K2, 1,        O8, 2.807, 0.161
    QICQEZ,        K2, 1,        O7, 2.858, 0.141
    QICQEZ,        K2, 1,       O8A, 2.807, 0.161
    QICQEZ,        K2, 1,       O9A, 2.774, 0.176
    CUZJIR,        K1, 1,       O2O, 2.695, 0.218
    CUZJIR,        K1, 1,       O2V, 2.695, 0.218
    CUZJIR,        K1, 1,       O2Q, 2.695, 0.218
    CUZJIR,        K1, 1,       O1F, 3.093, 0.074
    CUZJIR,        K1, 1,        O1, 3.093, 0.074
    CUZJIR,        K1, 1,       O1I, 3.093, 0.074
    DOXKIL,        K1, 1,       N2C, 2.849, 0.204
    DOXKIL,        K1, 1,       N3A, 2.817, 0.222
    DOXKIL,        K1, 1,       N1C, 2.879, 0.188
    DOXKIL,        K1, 1,       N4*, 2.857, 0.199
    DOXKIL,        K1, 1,        N1, 3.021, 0.128
    DOXKIL,        K1, 1,        N5, 3.065, 0.114
    DUGHOC,        K1, 1,        I1, 3.469, 0.204
    DUGHOC,        K1, 1,        N1, 2.989, 0.139
    DUGHOC,        K1, 1,        O5, 2.756, 0.185
    DUGHOC,        K1, 1,        O4, 2.796, 0.166
    DUGHOC,        K1, 1,        O3, 2.779, 0.174
    DUGHOC,        K1, 1,        O2, 2.782, 0.173
    DUGHOC,        K1, 1,        O1, 2.702, 0.214
    GASTUP,        K1, 1,       O2F, 2.753, 0.187
    GASTUP,        K1, 1,       O3*, 2.733, 0.197
    GASTUP,        K1, 1,       O2B, 2.860, 0.140
    GASTUP,        K1, 1,       O1*, 2.727, 0.200
    GASTUP,        K1, 1,        O1, 2.730, 0.199
    VOXKAU,        K1, 1,       O5*, 2.875, 0.134
    VOXKAU,        K1, 1,       O4A, 2.768, 0.179
    VOXKAU,        K1, 1,       O5A, 2.874, 0.135
    VOXKAU,        K1, 1,       O6A, 2.863, 0.139
    VOXKAU,        K1, 1,       O3A, 2.798, 0.165
    VOXKAU,        K1, 1,        O6, 2.741, 0.193
    VOXKAU,        K1, 1,        O1, 2.810, 0.160
    OVEGIG,        K1, 1,       O4D, 2.715, 0.207
    OVEGIG,        K1, 1,       O4E, 2.715, 0.207
    OVEGIG,        K1, 1,       O2D, 2.724, 0.202
    OVEGIG,        K1, 1,       O2E, 2.724, 0.202
    OVEGIG,        K1, 1,        O2, 2.640, 0.253
    OVEGIG,        K1, 1,       O2A, 2.640, 0.253
  CRKEAC10,        K1, 1,        O8, 2.732, 0.198
  CRKEAC10,        K1, 1,        O7, 2.650, 0.247
  CRKEAC10,        K1, 1,        O6, 3.016, 0.092
  CRKEAC10,        K1, 1,        O5, 2.903, 0.124
  CRKEAC10,        K1, 1,        O4, 2.930, 0.116
  CRKEAC10,        K1, 1,        O3, 2.921, 0.119
  CRKEAC10,        K1, 1,        O2, 2.971, 0.104
  CRKEAC10,        K1, 1,        O1, 2.828, 0.152
    JUKZOE,        K1, 1,        S1, 3.314, 0.141
    JUKZOE,        K1, 1,       O1A, 2.657, 0.242
    JUKZOE,        K1, 1,       S1E, 3.360, 0.125
    BISTOM,        K1, 1,        N2, 2.823, 0.218
    BISTOM,        K1, 1,        N3, 2.812, 0.225
    BISTOM,        K1, 1,       N1A, 2.821, 0.220
    XUQQOP,        K2, 1,       O4A, 2.895, 0.127
    XUQQOP,        K2, 1,       O4F, 2.895, 0.127
    XUQQOP,        K2, 1,       O4G, 2.895, 0.127
    XUQQOP,        K2, 1,       O6A, 2.833, 0.150
    XUQQOP,        K2, 1,       O6F, 2.833, 0.150
    XUQQOP,        K2, 1,       O6G, 2.833, 0.150
    XUQQOP,        K2, 1,        O6, 2.833, 0.150
    XUQQOP,        K2, 1,        O4, 2.895, 0.127
    SOJWAP,        K1, 1,       O7C, 2.840, 0.148
    SOJWAP,        K1, 1,       O1*, 2.929, 0.116
    SOJWAP,        K1, 1,       O6C, 2.735, 0.196
    SOJWAP,        K1, 1,       O3*, 2.813, 0.159
    SOJWAP,        K1, 1,        O7, 2.840, 0.148
    SOJWAP,        K1, 1,        O6, 2.735, 0.196
    SOJWAP,        K1, 1,        O5, 3.094, 0.074
    SOJWAP,        K1, 1,       O3C, 2.813, 0.159
    FOKQEB,        K1, 1,        P2, 3.468, 0.107
    FOKQEB,        K1, 1,      Cl2B, 3.157, 0.178
    FOKQEB,        K1, 1,       Cl2, 3.344, 0.108
    FOKQEB,        K1, 1,      Cl1B, 3.142, 0.186
    FOKQEB,        K1, 1,       Cl1, 3.187, 0.164
    FOKQEB,        K1, 1,        O1, 2.826, 0.153
    SIWZOO,        K1, 1,       Cl1, 3.299, 0.121
    SIWZOO,        K1, 1,       Cl2, 3.112, 0.201
    SIWZOO,        K1, 1,       Cl4, 3.247, 0.140
    SIWZOO,        K1, 1,        O5, 2.849, 0.144
    SIWZOO,        K1, 1,        O3, 2.839, 0.148
    SIWZOO,        K1, 1,       Cl6, 3.200, 0.159
    SIWZOO,        K1, 1,        O1, 2.928, 0.116
    OBEVEW,        K1, 1,        N3, 2.942, 0.158
    OBEVEW,        K1, 1,        O3, 2.764, 0.181
    OBEVEW,        K1, 1,        O6, 2.701, 0.215
    OBEVEW,        K1, 1,        O5, 2.774, 0.176
    OBEVEW,        K1, 1,        O4, 2.702, 0.214
    OBEVEW,        K1, 1,        N4, 2.903, 0.176
    OBEVEW,        K1, 1,        O2, 2.696, 0.218
    OBEVEW,        K1, 1,        O1, 2.764, 0.181
    AZIBUH,        K1, 1,        O8, 2.747, 0.190
    AZIBUH,        K1, 1,        O7, 2.738, 0.194
    AZIBUH,        K1, 1,        O6, 2.731, 0.198
    AZIBUH,        K1, 1,        O5, 2.771, 0.178
    AZIBUH,        K1, 1,        O4, 2.765, 0.181
    AZIBUH,        K1, 1,        O3, 2.754, 0.186
    AZIBUH,        K1, 1,        O2, 2.778, 0.174
    AZIBUH,        K1, 1,        O1, 2.788, 0.170
    YETMIU,        K1, 1,       O4A, 2.685, 0.224
    YETMIU,        K1, 1,       O1A, 2.766, 0.180
    YETMIU,        K1, 1,       O3A, 2.813, 0.159
    YETMIU,        K1, 1,        O4, 2.685, 0.224
    YETMIU,        K1, 1,        O3, 2.813, 0.159
    YETMIU,        K1, 1,        O2, 2.816, 0.157
    YETMIU,        K1, 1,        O1, 2.766, 0.180
    YETMIU,        K1, 1,       O2A, 2.816, 0.157
    YETMIU,        K2, 1,       O5A, 2.808, 0.161
    YETMIU,        K2, 1,       O7A, 2.832, 0.151
    YETMIU,        K2, 1,       O6A, 2.737, 0.195
    YETMIU,        K2, 1,        O8, 2.744, 0.191
    YETMIU,        K2, 1,        O7, 2.832, 0.151
    YETMIU,        K2, 1,        O6, 2.737, 0.195
    YETMIU,        K2, 1,        O5, 2.808, 0.161
    YETMIU,        K2, 1,       O8A, 2.744, 0.191
    XINJUA,        K1, 1,       O5A, 2.911, 0.122
    XINJUA,        K1, 1,       O3C, 2.901, 0.125
    XINJUA,        K1, 1,        O5, 2.851, 0.143
    XINJUA,        K1, 1,       O3B, 2.714, 0.207
    XINJUA,        K1, 1,        O2, 2.706, 0.212
    XINJUA,        K1, 1,        O1, 3.084, 0.076
    XINJUA,        K1, 1,       O2A, 2.625, 0.264
    KAYLON,        K1, 1,       N1*, 2.709, 0.297
    KAYLON,        K1, 1,       N1A, 2.982, 0.142
    KAYLON,        K1, 1,        O3, 2.868, 0.137
    KAYLON,        K1, 1,        O2, 2.941, 0.112
    KAYLON,        K1, 1,        O1, 2.732, 0.198
    CUQJUU,        K1, 1,        F1, 2.719, 0.140
    CUQJUU,        K1, 1,        F2, 2.921, 0.081
    CUQJUU,        K1, 1,        O6, 2.906, 0.123
    CUQJUU,        K1, 1,        O5, 2.679, 0.228
    CUQJUU,        K1, 1,        O4, 2.844, 0.146
    CUQJUU,        K1, 1,        O3, 2.818, 0.157
    CUQJUU,        K1, 1,        O2, 2.699, 0.216
    CUQJUU,        K1, 1,        O1, 2.885, 0.131
    XEJWAL,        K1, 1,       N1B, 2.914, 0.171
    XEJWAL,        K1, 1,        N1, 3.087, 0.107
    XEJWAL,        K1, 1,        N2, 2.933, 0.162
    XEJWAL,        K1, 1,        N3, 2.947, 0.156
    XEJWAL,        K1, 1,        N4, 2.998, 0.136
    XEJWAL,        K1, 1,        N5, 2.938, 0.160
    XEJWAL,        K1, 1,        N7, 2.969, 0.147
  KBZILT01,        K1, 1,       O3A, 2.853, 0.142
  KBZILT01,        K1, 1,       O3C, 2.635, 0.257
  KBZILT01,        K1, 1,       O2B, 2.641, 0.253
  KBZILT01,        K1, 1,        O1, 3.003, 0.095
  KBZILT01,        K1, 1,       O2A, 2.794, 0.167
    OLARUP,        K2, 1,       O14, 2.967, 0.105
    OLARUP,        K2, 1,       O13, 2.871, 0.136
    OLARUP,        K2, 1,       O12, 2.810, 0.160
    OLARUP,        K2, 1,       O11, 2.781, 0.173
    OLARUP,        K2, 1,       O10, 2.830, 0.152
    OLARUP,        K2, 1,        O9, 2.709, 0.210
    OLARUP,        K2, 1,        N5, 3.014, 0.130
    OLARUP,        K2, 1,        N6, 3.095, 0.105
    OLARUP,        K1, 1,       O7A, 2.735, 0.196
    OLARUP,        K1, 1,       O6A, 2.662, 0.239
    OLARUP,        K1, 1,       O1A, 3.055, 0.083
    OLARUP,        K1, 1,        O8, 2.726, 0.201
    OLARUP,        K1, 1,       O3A, 3.118, 0.070
    OLARUP,        K1, 1,        O5, 2.709, 0.210
    OLARUP,        K1, 1,        O3, 2.884, 0.131
    OLARUP,        K1, 1,        O1, 2.907, 0.123
    SAKQIF,        K4, 1,       O24, 2.718, 0.205
    SAKQIF,        K4, 1,       O22, 2.791, 0.168
    SAKQIF,        K4, 1,       O23, 2.913, 0.121
    SAKQIF,        K4, 1,       O20, 2.861, 0.139
    SAKQIF,        K4, 1,       O21, 2.744, 0.191
    SAKQIF,        K4, 1,       O19, 2.797, 0.166
    SAKQIF,        K4, 1,        N1, 2.967, 0.148
    SAKQIF,        K4, 1,        N3, 2.975, 0.145
  POTCOD10,        K1, 1,        S2, 3.284, 0.153
  POTCOD10,        K1, 1,        S1, 3.366, 0.123
  POTCOD10,        K1, 1,        O5, 2.873, 0.135
  POTCOD10,        K1, 1,        O4, 2.774, 0.176
  POTCOD10,        K1, 1,        O3, 2.769, 0.179
  POTCOD10,        K1, 1,        O2, 2.804, 0.163
  POTCOD10,        K1, 1,        O1, 2.791, 0.168
    KAMYIH,        K1, 1,       O16, 2.495, 0.375
    KAMYIH,        K1, 1,      O10K, 2.873, 0.135
    KAMYIH,        K1, 1,       O13, 2.900, 0.125
    KAMYIH,        K1, 1,       O12, 3.013, 0.092
    KAMYIH,        K1, 1,       O11, 2.971, 0.104
    KAMYIH,        K1, 1,       O3K, 2.693, 0.220
    KAMYIH,        K1, 1,        O1, 2.691, 0.221
    WAQVEP,        K1, 1,        N3, 2.903, 0.176
