    YABNIA,       Zn1, 2,        O1, 2.039, 0.404
    QUWHOG,       Zn1, 2,        O7, 1.985, 0.468
    QUWHOG,       Zn1, 2,        O6, 2.281, 0.210
    QUWHOG,       Zn1, 2,        N2, 1.999, 0.539
    QUWHOG,       Zn1, 2,        O3, 2.134, 0.313
    QUWHOG,       Zn1, 2,        N1, 1.994, 0.546
    RAMGAO,       Zn1, 2,        O1, 1.957, 0.505
    RAMGAO,       Zn1, 2,       Cl1, 2.244, 0.531
    RAMGAO,       Zn1, 2,       O1A, 1.957, 0.505
    RAMGAO,       Zn1, 2,      Cl1A, 2.244, 0.531
    SACNIV,       Zn1, 2,        O1, 2.097, 0.346
    SACNIV,       Zn1, 2,        N2, 1.970, 0.582
    SACNIV,       Zn1, 2,       O2C, 2.031, 0.413
    SACNIV,       Zn1, 2,        N6, 2.105, 0.404
    SACNIV,       Zn1, 2,       O2A, 2.137, 0.310
    CAPLOV,       Zn1, 2,        N1, 2.018, 0.512
    CAPLOV,       Zn1, 2,        S1, 2.349, 0.497
    CAPLOV,       Zn1, 2,        N3, 2.027, 0.499
    CAPLOV,       Zn1, 2,        S2, 2.228, 0.689
  WOJZOK01,       Zn2, 2,       O4A, 1.952, 0.512
  WOJZOK01,       Zn2, 2,       O4*, 1.952, 0.512
  WOJZOK01,       Zn2, 2,       N1A, 2.046, 0.474
  WOJZOK01,       Zn2, 2,        N1, 2.046, 0.474
    PEZLAI,       Zn1, 2,       O2G, 1.955, 0.507
    PEZLAI,       Zn1, 2,       O2E, 1.955, 0.507
    PEZLAI,       Zn1, 2,       O1B, 1.920, 0.558
    PEZLAI,       Zn1, 2,        O1, 1.920, 0.558
    DUCBUZ,       Zn1, 2,        N1, 2.066, 0.449
    DUCBUZ,       Zn1, 2,        N2, 2.091, 0.420
    DUCBUZ,       Zn1, 2,       Cl1, 2.201, 0.597
    DUCBUZ,       Zn1, 2,       Cl2, 2.222, 0.564
    BAXQUN,       Zn1, 2,        N1, 2.149, 0.359
    BAXQUN,       Zn1, 2,        N2, 2.199, 0.314
    BAXQUN,       Zn1, 2,        O3, 2.014, 0.433
    BAXQUN,       Zn1, 2,        O2, 2.011, 0.436
    BAXQUN,       Zn1, 2,        O1, 1.958, 0.503
    EZAHOC,       Zn1, 2,        N1, 2.016, 0.514
    EZAHOC,       Zn1, 2,        N2, 2.013, 0.519
    EZAHOC,       Zn1, 2,        N3, 2.033, 0.491
    EZAHOC,       Zn1, 2,        N5, 2.043, 0.478
    MUKNEM,       Zn1, 2,        N1, 2.067, 0.448
    MUKNEM,       Zn1, 2,        N2, 2.076, 0.437
    MUKNEM,       Zn1, 2,       Cl1, 2.202, 0.595
    MUKNEM,       Zn1, 2,       Cl2, 2.211, 0.581
    VIQMIS,       Zn1, 2,        N1, 2.077, 0.436
    VIQMIS,       Zn1, 2,        N2, 2.098, 0.412
    VIQMIS,       Zn1, 2,       Br2, 2.357, 0.572
    VIQMIS,       Zn1, 2,       Br1, 2.342, 0.595
    TAYSER,       Zn1, 2,       O4A, 2.148, 0.301
    TAYSER,       Zn1, 2,       O5A, 2.062, 0.380
    TAYSER,       Zn1, 2,       O6A, 2.055, 0.387
    TAYSER,       Zn1, 2,        O6, 2.055, 0.387
    TAYSER,       Zn1, 2,        O5, 2.062, 0.380
    TAYSER,       Zn1, 2,        O4, 2.148, 0.301
    IPOVEO,       Zn2, 2,       O6A, 1.944, 0.523
    IPOVEO,       Zn2, 2,        O2, 1.909, 0.575
    IPOVEO,       Zn2, 2,       O8*, 1.967, 0.491
    IPOVEO,       Zn2, 2,       O10, 1.947, 0.519
    IPOVEO,       Zn1, 2,       O3A, 1.929, 0.544
    IPOVEO,       Zn1, 2,        O5, 1.943, 0.524
    IPOVEO,       Zn1, 2,        O9, 1.933, 0.539
    IPOVEO,       Zn1, 2,        O1, 1.951, 0.513
    UHUHOV,       Zn1, 2,        N1, 2.073, 0.441
    UHUHOV,       Zn1, 2,        N2, 2.199, 0.314
    UHUHOV,       Zn1, 2,        N3, 2.100, 0.410
    UHUHOV,       Zn1, 2,        O1, 1.997, 0.453
    UHUHOV,       Zn1, 2,       O2A, 2.041, 0.402
    YARSAN,       Zn1, 2,       O4*, 1.989, 0.463
    YARSAN,       Zn1, 2,        N4, 1.977, 0.572
    YARSAN,       Zn1, 2,        O2, 1.979, 0.476
    YARSAN,       Zn1, 2,        O8, 1.942, 0.526
    OCEYIF,       Zn1, 2,        N2, 2.042, 0.479
    OCEYIF,       Zn1, 2,       N1F, 2.097, 0.413
    OCEYIF,       Zn1, 2,        O1, 1.963, 0.497
    OCEYIF,       Zn1, 2,       O3F, 1.972, 0.485
    TUTJEX,       Zn1, 2,        O8, 2.101, 0.342
    TUTJEX,       Zn1, 2,        N1, 2.099, 0.411
    TUTJEX,       Zn1, 2,        O7, 2.095, 0.348
    TUTJEX,       Zn1, 2,        O6, 2.210, 0.255
    TUTJEX,       Zn1, 2,        O5, 2.071, 0.371
    TUTJEX,       Zn1, 2,        O1, 2.081, 0.361
    TUMFEN,       Zn2, 2,        N8, 2.097, 0.413
    TUMFEN,       Zn2, 2,        N3, 2.187, 0.324
    TUMFEN,       Zn2, 2,        O3, 1.963, 0.497
    TUMFEN,       Zn2, 2,        N6, 2.052, 0.467
    TUMFEN,       Zn2, 2,        O4, 2.030, 0.414
