    OBIGAH,       Fe1, 2,        N2, 2.271, 0.257
    OBIGAH,       Fe1, 2,        N4, 2.286, 0.247
    OBIGAH,       Fe1, 2,       Cl1, 2.299, 0.524
    OBIGAH,       Fe1, 2,       Cl2, 2.294, 0.531
    IVOVUL,       Fe1, 2,        O7, 2.417, 0.144
    IVOVUL,       Fe1, 2,        O5, 2.096, 0.343
    IVOVUL,       Fe1, 2,        O4, 2.085, 0.353
    IVOVUL,       Fe1, 2,        O3, 2.098, 0.341
    IVOVUL,       Fe1, 2,        O2, 2.098, 0.341
    IVOVUL,       Fe1, 2,        O1, 2.253, 0.224
  IBIXAT11,       Fe1, 2,        N1, 2.101, 0.408
  IBIXAT11,       Fe1, 2,        N2, 2.114, 0.394
  IBIXAT11,       Fe1, 2,        N3, 2.113, 0.395
  IBIXAT11,       Fe1, 2,        N4, 2.117, 0.390
  IBIXAT11,       Fe1, 2,        N5, 2.098, 0.411
  IBIXAT11,       Fe1, 2,        N6, 2.087, 0.423
    XOYGAU,       Fe1, 2,        N1, 1.896, 0.709
    XOYGAU,       Fe1, 2,        N2, 1.898, 0.706
    XOYGAU,       Fe1, 2,        N3, 1.906, 0.691
    XOYGAU,       Fe1, 2,        N4, 1.906, 0.691
    FOSYUH,       Fe2, 2,       O2B, 2.156, 0.292
    FOSYUH,       Fe2, 2,       O1B, 2.104, 0.336
    FOSYUH,       Fe2, 2,       O3B, 2.166, 0.284
    FOSYUH,       Fe2, 2,        O3, 2.166, 0.284
    FOSYUH,       Fe2, 2,        O2, 2.156, 0.292
    FOSYUH,       Fe2, 2,        O1, 2.104, 0.336
    KEHRAR,       Fe1, 2,        O8, 2.204, 0.256
    KEHRAR,       Fe1, 2,        N1, 2.142, 0.365
    KEHRAR,       Fe1, 2,        N2, 2.498, 0.139
    KEHRAR,       Fe1, 2,        N3, 2.332, 0.218
    KEHRAR,       Fe1, 2,        O3, 2.241, 0.232
    KEHRAR,       Fe1, 2,        O5, 2.145, 0.300
    KEHRAR,       Fe1, 2,        O1, 2.112, 0.328
    JUXYEG,       Fe1, 2,        N1, 2.209, 0.304
    JUXYEG,       Fe1, 2,        N2, 2.173, 0.336
    JUXYEG,       Fe1, 2,        N3, 2.184, 0.326
    JUXYEG,       Fe1, 2,        O3, 2.137, 0.307
    JUXYEG,       Fe1, 2,        O2, 2.023, 0.418
    JUXYEG,       Fe1, 2,        O1, 2.087, 0.351
    JUXYEG,       Fe2, 2,        O1, 2.110, 0.330
    JUXYEG,       Fe2, 2,        O5, 2.131, 0.312
    JUXYEG,       Fe2, 2,        O4, 2.042, 0.397
    JUXYEG,       Fe2, 2,        N4, 2.208, 0.305
    JUXYEG,       Fe2, 2,        N5, 2.169, 0.339
    JUXYEG,       Fe2, 2,        N6, 2.171, 0.337
    AWIDAM,       Fe4, 2,       Br4, 2.435, 0.623
