    LIYYUO,       Ca1, 2,        N3, 2.380, 0.523
    LIYYUO,       Ca1, 2,        N2, 2.346, 0.573
  ULOGAD01,       Ca1, 2,        I1, 3.053, 0.407
  ULOGAD01,       Ca1, 2,        O6, 2.514, 0.228
  ULOGAD01,       Ca1, 2,        O5, 2.425, 0.290
  ULOGAD01,       Ca1, 2,        O4, 2.441, 0.278
  ULOGAD01,       Ca1, 2,        O3, 2.487, 0.245
  ULOGAD01,       Ca1, 2,        O2, 2.387, 0.321
  ULOGAD01,       Ca1, 2,        O1, 2.405, 0.306
  QQQDFJ01,       Ca1, 2,      Cl1B, 2.745, 0.363
  QQQDFJ01,       Ca1, 2,       Cl1, 2.745, 0.363
  QQQDFJ01,       Ca1, 2,       O1B, 2.293, 0.414
  QQQDFJ01,       Ca1, 2,       O2B, 2.302, 0.404
  QQQDFJ01,       Ca1, 2,        O2, 2.302, 0.404
  QQQDFJ01,       Ca1, 2,        O1, 2.293, 0.414
    CUGROM,       Ca1, 2,       O2C, 2.432, 0.285
    CUGROM,       Ca1, 2,       O1F, 2.461, 0.263
    CUGROM,       Ca1, 2,       O1D, 2.461, 0.263
    CUGROM,       Ca1, 2,       O3D, 2.369, 0.337
    CUGROM,       Ca1, 2,       O2A, 2.432, 0.285
    CUGROM,       Ca1, 2,       O2B, 2.597, 0.182
    CUGROM,       Ca1, 2,        O2, 2.597, 0.182
    CUGROM,       Ca1, 2,       O3F, 2.369, 0.337
    CACRPB,       Ca1, 2,        O8, 2.506, 0.233
    CACRPB,       Ca1, 2,        O2, 2.510, 0.230
    CACRPB,       Ca1, 2,        O9, 2.518, 0.226
    CACRPB,       Ca1, 2,        N1, 2.721, 0.208
    CACRPB,       Ca1, 2,        O6, 2.551, 0.206
    CACRPB,       Ca1, 2,        O5, 2.534, 0.216
    CACRPB,       Ca1, 2,        O3, 2.487, 0.245
    CACRPB,       Ca1, 2,        N2, 2.721, 0.208
    CACRPB,       Ca1, 2,        O1, 2.425, 0.290
    XEDPAX,       Ca1, 2,        P2, 2.890, 0.399
    XEDPAX,       Ca1, 2,        P1, 2.940, 0.349
    XEDPAX,       Ca1, 2,        P4, 2.870, 0.421
    XEDPAX,       Ca1, 2,       P1F, 2.885, 0.404
    ESIDOA,       Ca1, 2,       O1F, 2.346, 0.359
    ESIDOA,       Ca1, 2,       O2F, 2.339, 0.366
    ESIDOA,       Ca1, 2,        O3, 2.329, 0.376
    ESIDOA,       Ca1, 2,        O2, 2.339, 0.366
    ESIDOA,       Ca1, 2,        O1, 2.346, 0.359
    ESIDOA,       Ca1, 2,       O3F, 2.329, 0.376
    XEDPAX,       Ca3, 2,        P3, 3.064, 0.249
    XEDPAX,       Ca3, 2,        P1, 3.014, 0.285
    XEDPAX,       Ca3, 2,       P2F, 3.001, 0.296
    XEDPAX,       Ca3, 2,        O1, 2.399, 0.311
    XEDPAX,       Ca3, 2,       P4F, 3.073, 0.243
    XEDPAX,       Ca2, 2,        P2, 2.944, 0.345
    XEDPAX,       Ca2, 2,        P3, 2.899, 0.389
    XEDPAX,       Ca2, 2,        P1, 2.892, 0.397
    XEDPAX,       Ca2, 2,       P2F, 2.859, 0.434
    TAQGOH,       Ca1, 2,       Br2, 2.947, 0.291
    TAQGOH,       Ca1, 2,       Br1, 2.901, 0.329
    TAQGOH,       Ca1, 2,        N1, 2.587, 0.299
    TAQGOH,       Ca1, 2,        N2, 2.613, 0.278
    TAQGOH,       Ca1, 2,        N3, 2.563, 0.319
    TAQGOH,       Ca1, 2,        N4, 2.558, 0.323
    TAQGOH,       Ca1, 2,        O1, 2.421, 0.293
    SAZBAY,       Ca1, 2,       O4C, 2.332, 0.373
    SAZBAY,       Ca1, 2,       O7A, 2.329, 0.376
    SAZBAY,       Ca1, 2,       O6B, 2.328, 0.377
    SAZBAY,       Ca1, 2,        O3, 2.341, 0.364
    SAZBAY,       Ca1, 2,        O2, 2.342, 0.363
    SAZBAY,       Ca1, 2,        O1, 2.361, 0.345
    AKUPAX,       Ca2, 2,        O8, 2.259, 0.454
    AKUPAX,       Ca2, 2,        O7, 2.315, 0.390
    AKUPAX,       Ca2, 2,        N1, 2.512, 0.366
    AKUPAX,       Ca2, 2,        O4, 2.397, 0.313
    AKUPAX,       Ca2, 2,        O3, 2.448, 0.273
    AKUPAX,       Ca2, 2,        O2, 2.418, 0.296
    AKUPAX,       Ca1, 2,        N1, 2.465, 0.415
    AKUPAX,       Ca1, 2,        O6, 2.292, 0.415
    AKUPAX,       Ca1, 2,        O5, 2.264, 0.448
    AKUPAX,       Ca1, 2,        O4, 2.437, 0.281
    AKUPAX,       Ca1, 2,        O3, 2.481, 0.249
    AKUPAX,       Ca1, 2,        O1, 2.437, 0.281
    PATLED,       Ca2, 2,       O10, 2.491, 0.243
    PATLED,       Ca2, 2,       O5C, 2.673, 0.148
    PATLED,       Ca2, 2,       O7A, 2.300, 0.407
    PATLED,       Ca2, 2,       O6C, 2.428, 0.288
    PATLED,       Ca2, 2,       O6A, 2.416, 0.297
    PATLED,       Ca2, 2,        O9, 2.481, 0.249
    PATLED,       Ca2, 2,        O4, 2.509, 0.231
    PATLED,       Ca2, 2,       O8C, 2.398, 0.312
    FIYLAA,       Ca1, 2,       O4B, 2.516, 0.227
    FIYLAA,       Ca1, 2,       O1F, 2.438, 0.280
    FIYLAA,       Ca1, 2,       O2F, 2.417, 0.296
    FIYLAA,       Ca1, 2,        O5, 2.525, 0.221
    FIYLAA,       Ca1, 2,        O4, 2.481, 0.249
    FIYLAA,       Ca1, 2,        O3, 2.426, 0.289
    FIYLAA,       Ca1, 2,        O2, 2.417, 0.296
    FIYLAA,       Ca1, 2,        O1, 2.438, 0.280
    HOYXEZ,       Ca2, 2,       O11, 2.292, 0.415
    HOYXEZ,       Ca2, 2,       O10, 2.310, 0.396
    HOYXEZ,       Ca2, 2,      O10A, 2.310, 0.396
    HOYXEZ,       Ca2, 2,      O11A, 2.292, 0.415
    HOYXEZ,       Ca2, 2,       O6A, 2.327, 0.378
    HOYXEZ,       Ca2, 2,        O6, 2.327, 0.378
    QUWWAH,       Ca1, 2,      O10A, 2.366, 0.340
    QUWWAH,       Ca1, 2,       O5A, 2.647, 0.159
    QUWWAH,       Ca1, 2,       O6A, 2.446, 0.274
    QUWWAH,       Ca1, 2,        O8, 2.315, 0.390
    QUWWAH,       Ca1, 2,        O4, 2.546, 0.209
    QUWWAH,       Ca1, 2,        O3, 2.681, 0.145
    QUWWAH,       Ca1, 2,        O2, 2.402, 0.309
    QUWWAH,       Ca1, 2,        O1, 2.404, 0.307
    HOYXEZ,       Ca1, 2,       O5A, 2.326, 0.379
    HOYXEZ,       Ca1, 2,        O9, 2.332, 0.373
    HOYXEZ,       Ca1, 2,        O8, 2.301, 0.405
    HOYXEZ,       Ca1, 2,        O5, 2.326, 0.379
    HOYXEZ,       Ca1, 2,       O8A, 2.301, 0.405
    HOYXEZ,       Ca1, 2,       O9A, 2.332, 0.373
    FEBDAS,       Ca2, 2,       O4*, 2.606, 0.178
    FEBDAS,       Ca2, 2,       O10, 2.409, 0.303
    FEBDAS,       Ca2, 2,      O10A, 2.409, 0.303
    FEBDAS,       Ca2, 2,       O3*, 2.440, 0.278
    FEBDAS,       Ca2, 2,       O4A, 2.606, 0.178
    FEBDAS,       Ca2, 2,       O3A, 2.440, 0.278
    FEBDAS,       Ca2, 2,        O2, 2.397, 0.313
    FEBDAS,       Ca2, 2,       O2A, 2.397, 0.313
    EKUJEZ,       Ca1, 2,       O5B, 2.488, 0.245
    EKUJEZ,       Ca1, 2,       O4B, 2.496, 0.239
    EKUJEZ,       Ca1, 2,        O8, 2.368, 0.338
    EKUJEZ,       Ca1, 2,        O7, 2.398, 0.312
    EKUJEZ,       Ca1, 2,        O6, 2.400, 0.310
    EKUJEZ,       Ca1, 2,        O3, 2.514, 0.228
    EKUJEZ,       Ca1, 2,        O2, 2.483, 0.248
    EKUJEZ,       Ca1, 2,        O1, 2.502, 0.236
    EBOSAQ,       Ca1, 2,        N3, 2.393, 0.505
    EBOSAQ,       Ca1, 2,        N4, 2.532, 0.347
    EBOSAQ,       Ca1, 2,        N1, 2.471, 0.409
    EBOSAQ,       Ca1, 2,        N2, 2.431, 0.455
    EBOSAQ,       Ca1, 2,        O4, 2.502, 0.236
    EBOSAQ,       Ca1, 2,        O3, 2.479, 0.251
    EBOSAQ,       Ca1, 2,        O2, 2.460, 0.264
    EBOSAQ,       Ca1, 2,        O1, 2.494, 0.241
    MODJUL,       Ca1, 2,       N1B, 2.518, 0.360
    MODJUL,       Ca1, 2,        O8, 2.515, 0.227
    MODJUL,       Ca1, 2,       O6B, 2.547, 0.209
    MODJUL,       Ca1, 2,       O8B, 2.515, 0.227
    MODJUL,       Ca1, 2,        O6, 2.547, 0.209
    MODJUL,       Ca1, 2,        N1, 2.518, 0.360
    MODJUL,       Ca1, 2,        N2, 2.542, 0.337
    MODJUL,       Ca1, 2,        O1, 2.503, 0.235
    MODJUL,       Ca1, 2,       O1B, 2.503, 0.235
    COHCIM,       Ca1, 2,        N1, 2.520, 0.358
    COHCIM,       Ca1, 2,        N2, 2.497, 0.381
    COHCIM,       Ca1, 2,        O4, 2.382, 0.326
    COHCIM,       Ca1, 2,        O3, 2.362, 0.344
    COHCIM,       Ca1, 2,        O2, 2.208, 0.521
    COHCIM,       Ca1, 2,        O1, 2.215, 0.512
    MODZIO,       Ca1, 2,        I1, 3.113, 0.346
    MODZIO,       Ca1, 2,        I2, 3.103, 0.355
    MODZIO,       Ca1, 2,        O4, 2.557, 0.203
    MODZIO,       Ca1, 2,        O3, 2.206, 0.524
    MODZIO,       Ca1, 2,        O2, 2.572, 0.195
    MODZIO,       Ca1, 2,        O1, 2.219, 0.506
    AHONUG,       Ca1, 2,        O8, 2.530, 0.218
    AHONUG,       Ca1, 2,        O2, 2.545, 0.210
    AHONUG,       Ca1, 2,       O1C, 2.447, 0.273
    AHONUG,       Ca1, 2,        N1, 2.570, 0.313
    AHONUG,       Ca1, 2,        O7, 2.552, 0.206
    AHONUG,       Ca1, 2,        O6, 2.352, 0.353
    AHONUG,       Ca1, 2,        O5, 2.374, 0.333
    AHONUG,       Ca1, 2,        O4, 2.457, 0.266
    AHONUG,       Ca1, 2,        N2, 2.941, 0.115
    UCIZOW,       Ca1, 2,       N1B, 2.424, 0.464
    UCIZOW,       Ca1, 2,       N1A, 2.424, 0.464
    UCIZOW,       Ca1, 2,        N1, 2.424, 0.464
    UCIZOW,       Ca1, 2,       N1N, 2.424, 0.464
    UCIZOW,       Ca1, 2,       N1L, 2.424, 0.464
    UCIZOW,       Ca1, 2,       N1M, 2.424, 0.464
    QARKUQ,       Ca2, 2,      O11*, 2.334, 0.371
    QARKUQ,       Ca2, 2,        N2, 2.611, 0.280
    QARKUQ,       Ca2, 2,       O21, 2.422, 0.292
    QARKUQ,       Ca2, 2,       N4*, 2.653, 0.250
    QARKUQ,       Ca2, 2,        O8, 2.382, 0.326
    QARKUQ,       Ca2, 2,        O5, 2.368, 0.338
    QARKUQ,       Ca2, 2,        O4, 2.518, 0.226
    QARKUQ,       Ca2, 2,        O2, 2.428, 0.288
    QARKUQ,       Ca1, 2,       O16, 2.638, 0.163
    QARKUQ,       Ca1, 2,       O12, 2.428, 0.288
    QARKUQ,       Ca1, 2,       O10, 2.560, 0.201
    QARKUQ,       Ca1, 2,       O18, 2.458, 0.265
    QARKUQ,       Ca1, 2,        O9, 2.390, 0.319
    QARKUQ,       Ca1, 2,        O6, 2.429, 0.287
    QARKUQ,       Ca1, 2,        O7, 2.397, 0.313
    QARKUQ,       Ca1, 2,        N1, 2.830, 0.155
    QARKUQ,       Ca1, 2,        N3, 2.819, 0.160
    VUTMIG,       Ca1, 2,       O1B, 2.403, 0.308
    VUTMIG,       Ca1, 2,        O5, 2.358, 0.348
    VUTMIG,       Ca1, 2,        O4, 2.349, 0.356
    VUTMIG,       Ca1, 2,        O3, 2.364, 0.342
    VUTMIG,       Ca1, 2,        O2, 2.359, 0.347
    VUTMIG,       Ca1, 2,        O1, 2.407, 0.304
    LIWYOG,       Ca1, 2,       O3*, 2.527, 0.220
    LIWYOG,       Ca1, 2,       O1B, 2.506, 0.233
    LIWYOG,       Ca1, 2,       O3C, 2.597, 0.182
    LIWYOG,       Ca1, 2,       O2B, 2.322, 0.383
    LIWYOG,       Ca1, 2,        O2, 2.337, 0.368
    LIWYOG,       Ca1, 2,        O1, 2.418, 0.296
    LIWYOG,       Ca1, 2,       O2A, 2.383, 0.325
    VUTMIG,       Ca3, 2,       O11, 2.373, 0.334
    VUTMIG,       Ca3, 2,       O10, 2.353, 0.352
    VUTMIG,       Ca3, 2,       O2B, 2.332, 0.373
    VUTMIG,       Ca3, 2,        O9, 2.251, 0.464
    VUTMIG,       Ca3, 2,        O3, 2.312, 0.394
    VUTMIG,       Ca3, 2,        O1, 2.529, 0.219
    VUTMIG,       Ca2, 2,        O8, 2.367, 0.339
    VUTMIG,       Ca2, 2,        O7, 2.371, 0.336
    VUTMIG,       Ca2, 2,        O6, 2.298, 0.409
    VUTMIG,       Ca2, 2,       O3B, 2.329, 0.376
    VUTMIG,       Ca2, 2,        O2, 2.322, 0.383
    VUTMIG,       Ca2, 2,        O1, 2.477, 0.252
  BCRCIH10,       Ca1, 2,        O5, 2.544, 0.210
  BCRCIH10,       Ca1, 2,        N1, 2.428, 0.459
  BCRCIH10,       Ca1, 2,        O6, 2.546, 0.209
  BCRCIH10,       Ca1, 2,        N2, 2.423, 0.465
  BCRCIH10,       Ca1, 2,        O4, 2.486, 0.246
  BCRCIH10,       Ca1, 2,        O3, 2.457, 0.266
  BCRCIH10,       Ca1, 2,        O2, 2.613, 0.174
  BCRCIH10,       Ca1, 2,        O1, 2.399, 0.311
    TUVZEQ,       Ca1, 2,       O7*, 2.390, 0.319
    TUVZEQ,       Ca1, 2,       O5B, 2.339, 0.366
    TUVZEQ,       Ca1, 2,       O7A, 2.760, 0.117
    TUVZEQ,       Ca1, 2,       O6A, 2.434, 0.283
    TUVZEQ,       Ca1, 2,        O8, 2.439, 0.279
    TUVZEQ,       Ca1, 2,        O6, 2.364, 0.342
    TUVZEQ,       Ca1, 2,        O3, 2.365, 0.341
    QEHHUH,       Ca1, 2,       O4E, 2.334, 0.371
    QEHHUH,       Ca1, 2,       O1E, 2.413, 0.300
    QEHHUH,       Ca1, 2,        O5, 2.405, 0.306
    QEHHUH,       Ca1, 2,        O3, 2.319, 0.386
    QEHHUH,       Ca1, 2,       O2C, 2.298, 0.409
    QEHHUH,       Ca1, 2,        O1, 2.408, 0.304
    CABDUG,       Ca1, 2,       O4A, 2.359, 0.347
    CABDUG,       Ca1, 2,       O3A, 2.348, 0.357
    CABDUG,       Ca1, 2,        O4, 2.359, 0.347
    CABDUG,       Ca1, 2,        O3, 2.348, 0.357
    CABDUG,       Ca1, 2,        O2, 2.333, 0.372
    CABDUG,       Ca1, 2,       O2A, 2.333, 0.372
    INIPEB,       Ca1, 2,       N2A, 2.489, 0.389
    INIPEB,       Ca1, 2,       O2*, 2.372, 0.335
    INIPEB,       Ca1, 2,       O1A, 2.314, 0.391
    INIPEB,       Ca1, 2,        N2, 2.489, 0.389
    INIPEB,       Ca1, 2,        O1, 2.314, 0.391
    INIPEB,       Ca1, 2,       O2A, 2.372, 0.335
    CIXNUT,       Ca1, 2,        N2, 2.843, 0.150
    CIXNUT,       Ca1, 2,       O7A, 2.695, 0.140
    CIXNUT,       Ca1, 2,        O1, 2.754, 0.119
    CIXNUT,       Ca1, 2,       O7*, 2.750, 0.120
    FEGREP,       Ca2, 2,       O5B, 2.373, 0.334
    FEGREP,       Ca2, 2,       O7B, 2.615, 0.174
    FEGREP,       Ca2, 2,       O6B, 2.290, 0.418
    FEGREP,       Ca2, 2,        O8, 2.482, 0.249
    FEGREP,       Ca2, 2,        O7, 2.615, 0.174
    FEGREP,       Ca2, 2,        O6, 2.290, 0.418
    FEGREP,       Ca2, 2,        O5, 2.373, 0.334
    FEGREP,       Ca2, 2,       O8B, 2.482, 0.249
    CEGWER,       Ca1, 2,       O5*, 2.448, 0.273
    CEGWER,       Ca1, 2,       O11, 2.352, 0.353
    CEGWER,       Ca1, 2,       O7*, 2.378, 0.329
    CEGWER,       Ca1, 2,       O10, 2.445, 0.275
    CEGWER,       Ca1, 2,       O3C, 2.379, 0.328
    CEGWER,       Ca1, 2,       O8A, 2.385, 0.323
    CEGWER,       Ca1, 2,        O1, 2.470, 0.257
    ELOFAM,       Ca1, 2,       Cl1, 2.957, 0.205
    ELOFAM,       Ca1, 2,        O1, 2.418, 0.296
    ELOFAM,       Ca1, 2,      Cl1C, 2.800, 0.313
    ELOFAM,       Ca1, 2,        O4, 2.396, 0.314
    ELOFAM,       Ca1, 2,        O3, 2.395, 0.315
    ELOFAM,       Ca1, 2,        O2, 2.402, 0.309
    ELOFAM,       Ca1, 2,       Cl2, 2.717, 0.391
    HIMBIP,       Ca1, 2,        N1, 2.408, 0.485
    HIMBIP,       Ca1, 2,        N2, 2.422, 0.467
    HIMBIP,       Ca1, 2,        N3, 2.336, 0.589
    HIMBIP,       Ca1, 2,        O2, 2.437, 0.281
    HIMBIP,       Ca1, 2,        O1, 2.418, 0.296
    GIMLOD,       Ca1, 2,       O5B, 2.344, 0.361
    GIMLOD,       Ca1, 2,       O4B, 2.387, 0.321
    GIMLOD,       Ca1, 2,        O2, 2.387, 0.321
    GIMLOD,       Ca1, 2,       O3*, 2.332, 0.373
    GIMLOD,       Ca1, 2,        O5, 2.665, 0.152
    GIMLOD,       Ca1, 2,        O4, 2.460, 0.264
    GIMLOD,       Ca1, 2,       Cl1, 3.206, 0.104
    GIMLOD,       Ca1, 2,        O1, 2.418, 0.296
    AQUYUH,       Ca1, 2,       O6A, 2.294, 0.413
    AQUYUH,       Ca1, 2,        O7, 2.787, 0.109
    AQUYUH,       Ca1, 2,        O5, 2.292, 0.415
    AQUYUH,       Ca1, 2,        O4, 2.429, 0.287
    AQUYUH,       Ca1, 2,        O3, 2.359, 0.347
    AQUYUH,       Ca1, 2,        O2, 2.360, 0.346
    AQUYUH,       Ca1, 2,        O1, 2.356, 0.349
    WETMOY,       Ca1, 2,        O1, 2.227, 0.495
    WETMOY,       Ca1, 2,        N1, 2.444, 0.440
    WETMOY,       Ca1, 2,        N2, 2.443, 0.441
    WETMOY,       Ca1, 2,        O2, 2.417, 0.296
