    CENPOA,       Na1, 1,        O5, 2.807, 0.066
    CENPOA,       Na1, 1,        O4, 2.531, 0.140
    CENPOA,       Na1, 1,        O3, 2.443, 0.177
    CENPOA,       Na1, 1,        O2, 2.501, 0.152
    CENPOA,       Na1, 1,        O1, 2.677, 0.094
    BIWFOD,       Na1, 1,       O13, 2.383, 0.209
    BIWFOD,       Na1, 1,       O12, 2.342, 0.233
    BIWFOD,       Na1, 1,       O11, 2.408, 0.195
    BIWFOD,       Na1, 1,       O5B, 2.359, 0.223
    BIWFOD,       Na1, 1,      O11B, 2.464, 0.168
    BIWFOD,       Na1, 1,        O1, 2.420, 0.189
    ADAPAX,       Na1, 1,       O4A, 2.333, 0.239
    ADAPAX,       Na1, 1,       N2A, 2.509, 0.209
    ADAPAX,       Na1, 1,       O3A, 2.398, 0.200
    ADAPAX,       Na1, 1,        O3, 2.341, 0.234
    ADAPAX,       Na1, 1,        O2, 2.452, 0.173
    ADAPAX,       Na1, 1,        O1, 2.473, 0.164
    CUMSAE,       Na1, 1,        O1, 2.383, 0.209
    CUMSAE,       Na1, 1,        N1, 2.573, 0.176
    CUMSAE,       Na1, 1,       O2G, 2.419, 0.189
    CUMSAE,       Na1, 1,        O3, 2.427, 0.185
    CUMSAE,       Na1, 1,        O2, 2.453, 0.173
    CUMSAE,       Na1, 1,       O3G, 2.481, 0.160
    ITUWIE,       Na1, 1,        O5, 2.893, 0.053
    ITUWIE,       Na1, 1,      O10C, 2.738, 0.080
    ITUWIE,       Na1, 1,       O6A, 2.871, 0.056
    ITUWIE,       Na1, 1,       O11, 2.910, 0.050
    FIWREJ,       Na2, 1,       O5*, 2.402, 0.198
    FIWREJ,       Na2, 1,       O4A, 2.512, 0.147
    FIWREJ,       Na2, 1,       O6A, 2.385, 0.207
    FIWREJ,       Na2, 1,       O6*, 2.831, 0.062
    FIWREJ,       Na2, 1,        O4, 2.325, 0.244
    FIWREJ,       Na2, 1,        O2, 2.308, 0.255
    FIWREJ,       Na1, 1,       O5A, 2.609, 0.113
    FIWREJ,       Na1, 1,        O6, 2.489, 0.157
    FIWREJ,       Na1, 1,        O5, 2.552, 0.132
