    TAWMOU,       Mg1, 2,        O6, 2.045, 0.386
    TAWMOU,       Mg1, 2,        O5, 2.076, 0.355
    TAWMOU,       Mg1, 2,        O4, 2.040, 0.391
    TAWMOU,       Mg1, 2,        O3, 2.107, 0.327
    TAWMOU,       Mg1, 2,        O1, 2.069, 0.362
    TAWMOU,       Mg1, 2,       O2A, 2.049, 0.382
    BARXUO,       Mg1, 2,        N1, 2.060, 0.567
    BARXUO,       Mg1, 2,        N2, 2.065, 0.559
    BARXUO,       Mg1, 2,       Br2, 2.418, 0.689
    BARXUO,       Mg1, 2,       Br1, 2.571, 0.455
    WILMOT,       Mg1, 2,       Cl4, 2.312, 0.534
    WILMOT,       Mg1, 2,       Cl1, 2.324, 0.517
    WILMOT,       Mg1, 2,       Cl2, 2.322, 0.520
    WILMOT,       Mg1, 2,       Cl3, 2.326, 0.514
    ABOCOK,       Mg1, 2,       O5A, 2.047, 0.384
    ABOCOK,       Mg1, 2,       N1A, 2.177, 0.413
    ABOCOK,       Mg1, 2,       O1A, 2.061, 0.370
    ABOCOK,       Mg1, 2,        N1, 2.177, 0.413
    ABOCOK,       Mg1, 2,        O5, 2.047, 0.384
    ABOCOK,       Mg1, 2,        O1, 2.061, 0.370
    HIBGEF,       Mg2, 2,       O7B, 2.059, 0.372
    HIBGEF,       Mg2, 2,       O6B, 2.108, 0.326
    HIBGEF,       Mg2, 2,        O8, 2.050, 0.381
    HIBGEF,       Mg2, 2,        O7, 2.059, 0.372
    HIBGEF,       Mg2, 2,        O6, 2.108, 0.326
    HIBGEF,       Mg2, 2,       O8B, 2.050, 0.381
    HIBGEF,       Mg3, 2,       O12, 2.038, 0.394
    HIBGEF,       Mg3, 2,       O9A, 2.024, 0.409
    HIBGEF,       Mg3, 2,       O3A, 2.103, 0.330
    HIBGEF,       Mg3, 2,        O5, 2.105, 0.328
    HIBGEF,       Mg3, 2,        O1, 2.049, 0.382
    HIBGEF,       Mg3, 2,       O2A, 2.080, 0.351
    QEXWIA,       Mg2, 2,       Cl5, 2.479, 0.340
    QEXWIA,       Mg2, 2,       Cl4, 2.493, 0.328
    QEXWIA,       Mg2, 2,        O6, 2.070, 0.361
    QEXWIA,       Mg2, 2,        O5, 2.083, 0.349
    QEXWIA,       Mg2, 2,        O4, 2.075, 0.356
    QEXWIA,       Mg2, 2,       Cl3, 2.517, 0.307
    HIBGEF,       Mg1, 2,        O6, 2.051, 0.380
    HIBGEF,       Mg1, 2,        O5, 2.095, 0.337
    HIBGEF,       Mg1, 2,        O4, 2.080, 0.351
    HIBGEF,       Mg1, 2,        O3, 2.088, 0.344
    HIBGEF,       Mg1, 2,        O2, 2.101, 0.332
    HIBGEF,       Mg1, 2,        O1, 2.085, 0.347
    HIBGEF,       Mg4, 2,       O11, 2.034, 0.398
    HIBGEF,       Mg4, 2,       O10, 2.055, 0.376
    HIBGEF,       Mg4, 2,      O11B, 2.034, 0.398
    HIBGEF,       Mg4, 2,      O10B, 2.055, 0.376
    HIBGEF,       Mg4, 2,        O4, 2.110, 0.324
    HIBGEF,       Mg4, 2,       O4B, 2.110, 0.324
    EQINEY,       Mg1, 2,       O1A, 2.068, 0.363
    EQINEY,       Mg1, 2,       O3A, 2.017, 0.417
    EQINEY,       Mg1, 2,        O3, 2.017, 0.417
    EQINEY,       Mg1, 2,        O2, 2.116, 0.319
    EQINEY,       Mg1, 2,        O1, 2.068, 0.363
    EQINEY,       Mg1, 2,       O2A, 2.116, 0.319
    MINBIV,       Mg1, 2,       N1B, 2.002, 0.663
    MINBIV,       Mg1, 2,        N1, 2.002, 0.663
    MINBIV,       Mg1, 2,       O1B, 2.098, 0.335
    MINBIV,       Mg1, 2,        O1, 2.098, 0.335
    WUGRAS,       Mg2, 2,        N8, 2.091, 0.521
    WUGRAS,       Mg2, 2,        O8, 2.183, 0.266
    WUGRAS,       Mg2, 2,        O6, 2.189, 0.262
    WUGRAS,       Mg2, 2,        N5, 2.145, 0.451
    WUGRAS,       Mg2, 2,        N6, 2.095, 0.516
    WUGRAS,       Mg2, 2,        N7, 2.152, 0.442
    WUWXOC,       Mg1, 2,       O13, 2.063, 0.368
    WUWXOC,       Mg1, 2,       O12, 2.064, 0.367
    WUWXOC,       Mg1, 2,       O11, 2.055, 0.376
    WUWXOC,       Mg1, 2,       O10, 2.155, 0.287
    WUWXOC,       Mg1, 2,        O9, 2.046, 0.385
    WUWXOC,       Mg1, 2,        O2, 2.051, 0.380
    MIWHEG,       Mg1, 2,        O2, 2.188, 0.262
    MIWHEG,       Mg1, 2,        N1, 2.226, 0.362
    MIWHEG,       Mg1, 2,        O5, 2.183, 0.266
    MIWHEG,       Mg1, 2,        O4, 2.118, 0.317
    MIWHEG,       Mg1, 2,        O3, 2.180, 0.268
    MIWHEG,       Mg1, 2,        N2, 2.234, 0.354
    MIWHEG,       Mg1, 2,        O1, 2.108, 0.326
    NILSEG,       Mg1, 2,        O9, 2.070, 0.361
    NILSEG,       Mg1, 2,        O8, 2.064, 0.367
    NILSEG,       Mg1, 2,        O7, 2.074, 0.357
    NILSEG,       Mg1, 2,        O6, 2.067, 0.364
    NILSEG,       Mg1, 2,        O5, 2.090, 0.342
    NILSEG,       Mg1, 2,        O2, 2.098, 0.335
    VILLIM,       Mg1, 2,       O1A, 2.039, 0.393
    VILLIM,       Mg1, 2,       O3A, 2.070, 0.361
    VILLIM,       Mg1, 2,        O3, 2.070, 0.361
