    CEYGOC,       Fe1, 2,        S5, 2.368, 0.364,0,1.9943487257008297
    CEYGOC,       Fe2, 2,        S3, 2.388, 0.345,0,1.9943487257008297
    CEYGOC,       Fe2, 2,        S6, 2.290, 0.450,0,1.9943487257008297
    CEYGOC,       Fe2, 2,        S5, 2.379, 0.354,0,1.9943487257008297
    CEYGOC,       Fe2, 2,        S4, 2.325, 0.409,0,1.9943487257008297
  PTHPFE10,       Fe1, 2,        S3, 2.337, 0.396,0,1.9943487257008297
  PTHPFE10,       Fe1, 2,        S2, 2.360, 0.372,0,1.9943487257008297
  PTHPFE10,       Fe1, 2,        S1, 2.359, 0.373,0,1.9943487257008297
  PTHPFE10,       Fe1, 2,        S4, 2.355, 0.377,0,1.9943487257008297
    LAJFUX,       Fe1, 2,       S1B, 2.337, 0.396,0,1.9943487257008297
    LAJFUX,       Fe1, 2,        S1, 2.337, 0.396,0,1.9943487257008297
    LAJFUX,       Fe1, 2,       S1F, 2.337, 0.396,0,1.9943487257008297
    LAJFUX,       Fe1, 2,       S1D, 2.337, 0.396,0,1.9943487257008297
    GOLSIJ,       Fe1, 2,        S3, 2.368, 0.364,0,1.9943487257008297
    GOLSIJ,       Fe1, 2,        S2, 2.297, 0.441,0,1.9943487257008297
    GOLSIJ,       Fe1, 2,        S1, 2.295, 0.444,0,1.9943487257008297
    GOLSIJ,       Fe1, 2,       S3A, 2.378, 0.355,0,1.9943487257008297
    OLAREZ,       Fe3, 2,        S3, 2.227, 0.533,0,1.9943487257008297
    OLAREZ,       Fe3, 2,        S2, 2.274, 0.470,0,1.9943487257008297
    OLAREZ,       Fe3, 2,        S1, 2.268, 0.477,0,1.9943487257008297
    OLAREZ,       Fe3, 2,       S3B, 2.226, 0.535,0,1.9943487257008297
    ZAGYIP,       Fe1, 2,        S3, 2.344, 0.389,0,1.9943487257008297
    ZAGYIP,       Fe1, 2,        S2, 2.337, 0.396,0,1.9943487257008297
    ZAGYIP,       Fe1, 2,        S1, 2.330, 0.404,0,1.9943487257008297
    ZAGYIP,       Fe1, 2,        S4, 2.351, 0.381,0,1.9943487257008297
    YEWYUU,       Fe1, 2,        S3, 2.241, 0.513,0,1.9943487257008297
    YEWYUU,       Fe1, 2,        S2, 2.256, 0.493,0,1.9943487257008297
    YEWYUU,       Fe1, 2,        S1, 2.255, 0.494,0,1.9943487257008297
    YEWYUU,       Fe1, 2,        S7, 2.258, 0.490,0,1.9943487257008297
    MEGBIK,       Fe2, 2,        S3, 2.528, 0.236,0,1.9943487257008297
    MEGBIK,       Fe2, 2,        S2, 2.489, 0.263,0,1.9943487257008297
    MEGBIK,       Fe2, 2,        S1, 2.513, 0.246,0,1.9943487257008297
    MEGBIK,       Fe2, 2,        S6, 2.583, 0.204,0,1.9943487257008297
    MEGBIK,       Fe2, 2,        S5, 2.489, 0.263,0,1.9943487257008297
    MEGBIK,       Fe2, 2,        S4, 2.502, 0.254,0,1.9943487257008297
    ZIFDIB,       Fe1, 2,        S2, 2.361, 0.371,0,1.9943487257008297
    ZIFDIB,       Fe1, 2,       S1A, 2.350, 0.382,0,1.9943487257008297
    ZIFDIB,       Fe1, 2,       S2A, 2.361, 0.371,0,1.9943487257008297
    ZIFDIB,       Fe1, 2,        S1, 2.350, 0.382,0,1.9943487257008297
    TACTUM,       Fe1, 2,        S3, 2.272, 0.472,0,1.9943487257008297
    TACTUM,       Fe1, 2,        S2, 2.260, 0.488,0,1.9943487257008297
    TACTUM,       Fe1, 2,        S1, 2.258, 0.490,0,1.9943487257008297
    TACTUM,       Fe1, 2,        S6, 2.246, 0.507,0,1.9943487257008297
    TACTUM,       Fe1, 2,        S5, 2.275, 0.468,0,1.9943487257008297
    TACTUM,       Fe1, 2,        S4, 2.259, 0.489,0,1.9943487257008297
    CEYHET,       Fe2, 2,        S1, 2.371, 0.361,0,1.9943487257008297
    CEYHET,       Fe2, 2,        S8, 2.309, 0.427,0,1.9943487257008297
    CEYHET,       Fe2, 2,        S5, 2.358, 0.374,0,1.9943487257008297
    CEYHET,       Fe2, 2,        S4, 2.352, 0.380,0,1.9943487257008297
    COVGID,       Fe3, 2,       S4A, 2.486, 0.265,0,1.9943487257008297
    COVGID,       Fe3, 2,       S5A, 2.516, 0.244,0,1.9943487257008297
    COVGID,       Fe3, 2,        S6, 2.520, 0.242,0,1.9943487257008297
    COVGID,       Fe3, 2,        S5, 2.516, 0.244,0,1.9943487257008297
