    IKOVUZ,       Fe1, 3,       Br2, 2.359, 0.698,0,2.2258520120008729
    IKOVUZ,       Fe1, 3,       Br1, 2.331, 0.753,0,2.2258520120008729
    PORNUF,       Fe1, 3,      Br1A, 2.336, 0.743,0,2.2258520120008729
    PORNUF,       Fe1, 3,       Br2, 2.326, 0.763,0,2.2258520120008729
    PORNUF,       Fe1, 3,       Br1, 2.336, 0.743,0,2.2258520120008729
    PORNUF,       Fe1, 3,      Br2A, 2.326, 0.763,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br4, 2.319, 0.777,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br3, 2.317, 0.782,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br2, 2.311, 0.794,0,2.2258520120008729
    SIVJUD,       Fe1, 3,       Br1, 2.345, 0.725,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br4, 2.329, 0.757,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br3, 2.351, 0.713,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br2, 2.334, 0.747,0,2.2258520120008729
    FEKFUW,       Fe3, 3,       Br1, 2.339, 0.737,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br4, 2.329, 0.757,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br3, 2.325, 0.765,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br2, 2.322, 0.771,0,2.2258520120008729
    SEPLAA,       Fe1, 3,       Br1, 2.330, 0.755,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br4, 2.327, 0.761,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br3, 2.318, 0.780,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br2, 2.327, 0.761,0,2.2258520120008729
    SURRIH,       Fe1, 3,       Br1, 2.360, 0.696,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br4, 2.336, 0.743,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br3, 2.321, 0.773,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br2, 2.340, 0.735,0,2.2258520120008729
    XEGLUR,       Fe1, 3,       Br1, 2.338, 0.739,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br4, 2.324, 0.767,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br3, 2.330, 0.755,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br2, 2.347, 0.721,0,2.2258520120008729
  AGOGEI01,       Fe1, 3,       Br1, 2.335, 0.745,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br4, 2.323, 0.769,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br3, 2.346, 0.723,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br2, 2.331, 0.753,0,2.2258520120008729
    NIXWAT,       Fe1, 3,       Br1, 2.314, 0.788,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br4, 2.322, 0.771,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br3, 2.324, 0.767,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br2, 2.322, 0.771,0,2.2258520120008729
    ECANEC,       Fe1, 3,       Br1, 2.328, 0.759,0,2.2258520120008729
  XIBKID01,       Fe1, 3,       Br4, 2.329, 0.757,0,2.2258520120008729
  XIBKID01,       Fe1, 3,       Br3, 2.330, 0.755,0,2.2258520120008729
