    WAPBAQ,       Fe1, 3,        N1, 2.238, 0.263,0,1.7436855365387394
    WAPBAQ,       Fe1, 3,        N2, 2.212, 0.282,0,1.7436855365387394
    WAPBAQ,       Fe1, 3,        O4, 2.060, 0.451,0,1.7655282350223604
    WAPBAQ,       Fe1, 3,        N4, 2.100, 0.382,0,1.7436855365387394
    WAPBAQ,       Fe1, 3,        N5, 2.084, 0.399,0,1.7436855365387394
    WAPBAQ,       Fe1, 3,        O1, 2.066, 0.444,0,1.7655282350223604
    NUKKUA,       Fe1, 3,        N1, 1.962, 0.554,0,1.7436855365387394
    NUKKUA,       Fe1, 3,        N2, 1.959, 0.559,0,1.7436855365387394
    NUKKUA,       Fe1, 3,        N3, 1.982, 0.525,0,1.7436855365387394
    NUKKUA,       Fe1, 3,        N4, 1.975, 0.535,0,1.7436855365387394
    NUKKUA,       Fe1, 3,        N5, 2.066, 0.418,0,1.7436855365387394
    FONZAJ,       Fe1, 3,        N1, 2.069, 0.415,0,1.7436855365387394
    FONZAJ,       Fe1, 3,        N2, 2.056, 0.430,0,1.7436855365387394
    FONZAJ,       Fe1, 3,        N3, 2.035, 0.455,0,1.7436855365387394
    FONZAJ,       Fe1, 3,        N4, 2.038, 0.451,0,1.7436855365387394
    FONZAJ,       Fe1, 3,        O1, 1.945, 0.616,0,1.7655282350223604
    MARHES,       Fe1, 3,        N1, 2.132, 0.350,0,1.7436855365387394
    MARHES,       Fe1, 3,        N3, 2.142, 0.341,0,1.7436855365387394
    MARHES,       Fe1, 3,        N4, 2.129, 0.353,0,1.7436855365387394
    MARHES,       Fe1, 3,        O2, 2.001, 0.529,0,1.7655282350223604
    MARHES,       Fe1, 3,        O1, 1.791, 0.933,0,1.7655282350223604
    MARHES,       Fe1, 3,        N7, 2.246, 0.257,0,1.7436855365387394
    CERFEK,       Fe1, 3,        O9, 2.111, 0.393,0,1.7655282350223604
    CERFEK,       Fe1, 3,        O7, 2.126, 0.377,0,1.7655282350223604
    CERFEK,       Fe1, 3,        N1, 2.313, 0.215,0,1.7436855365387394
    CERFEK,       Fe1, 3,        O5, 1.985, 0.553,0,1.7655282350223604
    CERFEK,       Fe1, 3,        O3, 1.967, 0.580,0,1.7655282350223604
    CERFEK,       Fe1, 3,        N2, 2.346, 0.196,0,1.7436855365387394
    CERFEK,       Fe1, 3,        O1, 2.110, 0.394,0,1.7655282350223604
    ABOKIL,       Fe2, 3,        N1, 2.303, 0.221,0,1.7436855365387394
    ABOKIL,       Fe2, 3,        N2, 2.288, 0.230,0,1.7436855365387394
    ABOKIL,       Fe2, 3,        O4, 1.920, 0.659,0,1.7655282350223604
    ABOKIL,       Fe2, 3,        O3, 1.996, 0.536,0,1.7655282350223604
    ABOKIL,       Fe2, 3,        O2, 1.905, 0.686,0,1.7655282350223604
    ABOKIL,       Fe2, 3,        O1, 2.000, 0.531,0,1.7655282350223604
    ABOKIL,       Fe3, 3,       O5F, 2.014, 0.511,0,1.7655282350223604
    ABOKIL,       Fe3, 3,       N3F, 2.264, 0.245,0,1.7436855365387394
    ABOKIL,       Fe3, 3,       O6F, 1.899, 0.697,0,1.7655282350223604
    ABOKIL,       Fe3, 3,        O6, 1.899, 0.697,0,1.7655282350223604
    ABOKIL,       Fe3, 3,        O5, 2.014, 0.511,0,1.7655282350223604
    ABOKIL,       Fe3, 3,        N3, 2.264, 0.245,0,1.7436855365387394
    ABOKIL,       Fe1, 3,       O5F, 1.975, 0.568,0,1.7655282350223604
    ABOKIL,       Fe1, 3,       O1F, 1.996, 0.536,0,1.7655282350223604
    ABOKIL,       Fe1, 3,        O5, 1.975, 0.568,0,1.7655282350223604
    ABOKIL,       Fe1, 3,        O3, 1.984, 0.554,0,1.7655282350223604
    ABOKIL,       Fe1, 3,        O1, 1.996, 0.536,0,1.7655282350223604
    ABOKIL,       Fe1, 3,       O3F, 1.984, 0.554,0,1.7655282350223604
    RADXAX,       Fe5, 3,       O12, 2.056, 0.456,0,1.7655282350223604
    RADXAX,       Fe5, 3,       O11, 2.068, 0.442,0,1.7655282350223604
    RADXAX,       Fe5, 3,        O9, 2.021, 0.501,0,1.7655282350223604
    RADXAX,       Fe5, 3,        O8, 1.963, 0.586,0,1.7655282350223604
    RADXAX,       Fe5, 3,        O7, 1.966, 0.582,0,1.7655282350223604
    RADXAX,       Fe5, 3,       O9A, 2.019, 0.504,0,1.7655282350223604
    RADXAX,       Fe2, 3,       O3A, 2.004, 0.525,0,1.7655282350223604
    RADXAX,       Fe2, 3,        O6, 2.046, 0.469,0,1.7655282350223604
    RADXAX,       Fe2, 3,        O4, 2.055, 0.457,0,1.7655282350223604
    RADXAX,       Fe2, 3,        O3, 2.020, 0.503,0,1.7655282350223604
    RADXAX,       Fe2, 3,        O2, 1.978, 0.563,0,1.7655282350223604
    RADXAX,       Fe2, 3,        O1, 1.965, 0.583,0,1.7655282350223604
    GATWII,       Fe1, 3,       N11, 1.945, 0.580,0,1.7436855365387394
    GATWII,       Fe1, 3,        N9, 1.947, 0.577,0,1.7436855365387394
    GATWII,       Fe1, 3,        N1, 1.949, 0.574,0,1.7436855365387394
    GATWII,       Fe1, 3,        N3, 1.945, 0.580,0,1.7436855365387394
    GATWII,       Fe1, 3,        N5, 1.947, 0.577,0,1.7436855365387394
    GATWII,       Fe1, 3,        N7, 1.943, 0.584,0,1.7436855365387394
    LAJGOT,       Fe1, 3,        O6, 1.983, 0.556,0,1.7655282350223604
    LAJGOT,       Fe1, 3,        O5, 1.980, 0.560,0,1.7655282350223604
    LAJGOT,       Fe1, 3,        O4, 2.009, 0.518,0,1.7655282350223604
    LAJGOT,       Fe1, 3,        O3, 1.971, 0.574,0,1.7655282350223604
    LAJGOT,       Fe1, 3,        O2, 2.002, 0.528,0,1.7655282350223604
    LAJGOT,       Fe1, 3,        O1, 1.999, 0.532,0,1.7655282350223604
    YEZHAN,       Fe1, 3,        N1, 2.086, 0.396,0,1.7436855365387394
    YEZHAN,       Fe1, 3,        N2, 2.051, 0.436,0,1.7436855365387394
    YEZHAN,       Fe1, 3,        N3, 2.060, 0.425,0,1.7436855365387394
    YEZHAN,       Fe1, 3,        N4, 2.083, 0.400,0,1.7436855365387394
    YEZHAN,       Fe1, 3,        O2, 1.770, 0.988,0,1.7655282350223604
    DANVOE,       Fe1, 3,        N1, 2.217, 0.278,0,1.7436855365387394
    DANVOE,       Fe1, 3,        N2, 2.153, 0.331,0,1.7436855365387394
    DANVOE,       Fe1, 3,        N3, 2.285, 0.232,0,1.7436855365387394
    DANVOE,       Fe1, 3,        O3, 1.888, 0.718,0,1.7655282350223604
    DANVOE,       Fe1, 3,        O2, 1.915, 0.668,0,1.7655282350223604
    DANVOE,       Fe1, 3,        O1, 1.997, 0.535,0,1.7655282350223604
    DEQWEC,       Fe3, 3,       O16, 2.113, 0.391,0,1.7655282350223604
    DEQWEC,       Fe3, 3,       O13, 2.012, 0.514,0,1.7655282350223604
    DEQWEC,       Fe3, 3,       O11, 2.012, 0.514,0,1.7655282350223604
    DEQWEC,       Fe3, 3,        O9, 1.977, 0.565,0,1.7655282350223604
    DEQWEC,       Fe3, 3,        O7, 2.028, 0.492,0,1.7655282350223604
    DEQWEC,       Fe3, 3,        O1, 1.897, 0.701,0,1.7655282350223604
    DEQWEC,       Fe2, 3,       O15, 2.095, 0.410,0,1.7655282350223604
    DEQWEC,       Fe2, 3,        O8, 2.001, 0.529,0,1.7655282350223604
    DEQWEC,       Fe2, 3,        O6, 1.984, 0.554,0,1.7655282350223604
    DEQWEC,       Fe2, 3,        O5, 2.028, 0.492,0,1.7655282350223604
    DEQWEC,       Fe2, 3,        O3, 1.989, 0.547,0,1.7655282350223604
    DEQWEC,       Fe2, 3,        O1, 1.901, 0.693,0,1.7655282350223604
    DEQWEC,       Fe1, 3,       O14, 2.082, 0.425,0,1.7655282350223604
    DEQWEC,       Fe1, 3,       O12, 2.013, 0.512,0,1.7655282350223604
    DEQWEC,       Fe1, 3,       O10, 2.012, 0.514,0,1.7655282350223604
    DEQWEC,       Fe1, 3,        O4, 2.023, 0.499,0,1.7655282350223604
    DEQWEC,       Fe1, 3,        O2, 1.999, 0.532,0,1.7655282350223604
    DEQWEC,       Fe1, 3,        O1, 1.909, 0.679,0,1.7655282350223604
    LAJGEJ,       Fe1, 3,        O6, 1.988, 0.548,0,1.7655282350223604
    LAJGEJ,       Fe1, 3,        O5, 1.977, 0.565,0,1.7655282350223604
    LAJGEJ,       Fe1, 3,        O4, 1.996, 0.536,0,1.7655282350223604
    LAJGEJ,       Fe1, 3,        O3, 1.998, 0.533,0,1.7655282350223604
    LAJGEJ,       Fe1, 3,        O2, 2.015, 0.510,0,1.7655282350223604
    LAJGEJ,       Fe1, 3,        O1, 1.980, 0.560,0,1.7655282350223604
  KAJCIH10,       Fe1, 3,        O2, 2.023, 0.499,0,1.7655282350223604
  KAJCIH10,       Fe1, 3,        O6, 1.911, 0.675,0,1.7655282350223604
  KAJCIH10,       Fe1, 3,        N1, 2.157, 0.327,0,1.7436855365387394
  KAJCIH10,       Fe1, 3,        O5, 1.916, 0.666,0,1.7655282350223604
  KAJCIH10,       Fe1, 3,        N2, 2.103, 0.379,0,1.7436855365387394
  KAJCIH10,       Fe1, 3,        O1, 2.106, 0.398,0,1.7655282350223604
    QADFEH,       Fe1, 3,       N2F, 1.960, 0.557,0,1.7436855365387394
    QADFEH,       Fe1, 3,       N3F, 1.964, 0.551,0,1.7436855365387394
    QADFEH,       Fe1, 3,       N1F, 1.978, 0.531,0,1.7436855365387394
    QADFEH,       Fe1, 3,        N1, 1.978, 0.531,0,1.7436855365387394
    QADFEH,       Fe1, 3,        N2, 1.960, 0.557,0,1.7436855365387394
    QADFEH,       Fe1, 3,        N3, 1.964, 0.551,0,1.7436855365387394
  CASGUZ01,       Fe1, 3,        N1, 2.171, 0.315,0,1.7436855365387394
  CASGUZ01,       Fe1, 3,        N2, 2.157, 0.327,0,1.7436855365387394
  CASGUZ01,       Fe1, 3,        N3, 2.182, 0.306,0,1.7436855365387394
  CASGUZ01,       Fe1, 3,        O3, 1.967, 0.580,0,1.7655282350223604
  CASGUZ01,       Fe1, 3,        O2, 1.938, 0.627,0,1.7655282350223604
  CASGUZ01,       Fe1, 3,        O1, 1.936, 0.631,0,1.7655282350223604
    WOHHIK,       Fe1, 3,        O6, 1.984, 0.554,0,1.7655282350223604
    WOHHIK,       Fe1, 3,        N1, 2.166, 0.319,0,1.7436855365387394
    WOHHIK,       Fe1, 3,        O4, 1.967, 0.580,0,1.7655282350223604
    WOHHIK,       Fe1, 3,        O3, 2.073, 0.436,0,1.7655282350223604
    WOHHIK,       Fe1, 3,        O2, 1.969, 0.577,0,1.7655282350223604
    WOHHIK,       Fe1, 3,        O1, 1.983, 0.556,0,1.7655282350223604
    NEQRAC,       Fe1, 3,       N10, 1.973, 0.538,0,1.7436855365387394
    NEQRAC,       Fe1, 3,        N1, 2.233, 0.266,0,1.7436855365387394
    NEQRAC,       Fe1, 3,        N2, 2.266, 0.244,0,1.7436855365387394
    NEQRAC,       Fe1, 3,        N3, 2.225, 0.272,0,1.7436855365387394
    NEQRAC,       Fe1, 3,        N4, 1.979, 0.529,0,1.7436855365387394
    NEQRAC,       Fe1, 3,        N7, 2.050, 0.437,0,1.7436855365387394
    AZOQOV,       Fe1, 3,       O13, 2.001, 0.529,0,1.7655282350223604
    AZOQOV,       Fe1, 3,       O24, 2.038, 0.479,0,1.7655282350223604
    AZOQOV,       Fe1, 3,       O22, 1.956, 0.598,0,1.7655282350223604
    AZOQOV,       Fe1, 3,        O7, 2.091, 0.415,0,1.7655282350223604
    AZOQOV,       Fe1, 3,        O6, 2.114, 0.390,0,1.7655282350223604
    AZOQOV,       Fe1, 3,        O2, 1.916, 0.666,0,1.7655282350223604
    AZOQOV,       Fe2, 3,       O14, 2.111, 0.393,0,1.7655282350223604
    AZOQOV,       Fe2, 3,       O25, 2.071, 0.438,0,1.7655282350223604
    AZOQOV,       Fe2, 3,        O6, 2.061, 0.450,0,1.7655282350223604
    AZOQOV,       Fe2, 3,        O5, 1.946, 0.614,0,1.7655282350223604
    AZOQOV,       Fe2, 3,        O2, 1.932, 0.638,0,1.7655282350223604
    AZOQOV,       Fe2, 3,        O1, 2.078, 0.430,0,1.7655282350223604
    AZOQOV,       Fe3, 3,       O38, 1.997, 0.535,0,1.7655282350223604
    AZOQOV,       Fe3, 3,       O12, 1.922, 0.655,0,1.7655282350223604
    AZOQOV,       Fe3, 3,       O23, 2.030, 0.489,0,1.7655282350223604
    AZOQOV,       Fe3, 3,       O40, 1.959, 0.593,0,1.7655282350223604
    AZOQOV,       Fe3, 3,        O7, 2.133, 0.370,0,1.7655282350223604
    AZOQOV,       Fe3, 3,        O6, 2.088, 0.418,0,1.7655282350223604
    AZOQOV,       Fe4, 3,       O12, 1.909, 0.679,0,1.7655282350223604
    AZOQOV,       Fe4, 3,       O11, 2.102, 0.403,0,1.7655282350223604
    AZOQOV,       Fe4, 3,       O35, 2.065, 0.445,0,1.7655282350223604
    AZOQOV,       Fe4, 3,       O37, 2.095, 0.410,0,1.7655282350223604
    AZOQOV,       Fe4, 3,        O8, 1.926, 0.648,0,1.7655282350223604
    AZOQOV,       Fe4, 3,        O7, 2.053, 0.460,0,1.7655282350223604
    AZOQOV,       Fe5, 3,       O39, 2.094, 0.412,0,1.7655282350223604
    AZOQOV,       Fe5, 3,       O12, 1.905, 0.686,0,1.7655282350223604
    AZOQOV,       Fe5, 3,       O10, 1.939, 0.626,0,1.7655282350223604
    AZOQOV,       Fe5, 3,       O29, 2.063, 0.448,0,1.7655282350223604
    AZOQOV,       Fe5, 3,       O41, 2.103, 0.402,0,1.7655282350223604
    AZOQOV,       Fe5, 3,        O5, 1.932, 0.638,0,1.7655282350223604
    AZOQOV,       Fe6, 3,       O26, 2.003, 0.526,0,1.7655282350223604
    AZOQOV,       Fe6, 3,       O30, 1.972, 0.572,0,1.7655282350223604
    AZOQOV,       Fe6, 3,       O27, 2.032, 0.487,0,1.7655282350223604
    AZOQOV,       Fe6, 3,        O5, 1.877, 0.740,0,1.7655282350223604
    AZOQOV,       Fe6, 3,        O4, 2.138, 0.365,0,1.7655282350223604
    AZOQOV,       Fe6, 3,        O1, 2.143, 0.361,0,1.7655282350223604
    CAJKAB,       Fe1, 3,       O10, 2.027, 0.493,0,1.7655282350223604
    CAJKAB,       Fe1, 3,        O8, 2.072, 0.437,0,1.7655282350223604
    CAJKAB,       Fe1, 3,        O4, 2.062, 0.449,0,1.7655282350223604
    CAJKAB,       Fe1, 3,        O3, 1.929, 0.643,0,1.7655282350223604
    CAJKAB,       Fe1, 3,        O2, 1.949, 0.609,0,1.7655282350223604
    CAJKAB,       Fe1, 3,        O1, 2.026, 0.495,0,1.7655282350223604
    AZOQOV,       Fe8, 3,       O15, 2.083, 0.424,0,1.7655282350223604
    AZOQOV,       Fe8, 3,       O19, 2.122, 0.382,0,1.7655282350223604
    AZOQOV,       Fe8, 3,       O21, 2.111, 0.393,0,1.7655282350223604
    AZOQOV,       Fe8, 3,        O8, 1.935, 0.633,0,1.7655282350223604
    AZOQOV,       Fe8, 3,        O3, 1.909, 0.679,0,1.7655282350223604
    AZOQOV,       Fe8, 3,        O2, 1.898, 0.699,0,1.7655282350223604
    AZOQOV,       Fe9, 3,       O11, 2.135, 0.368,0,1.7655282350223604
    AZOQOV,       Fe9, 3,       O34, 2.045, 0.470,0,1.7655282350223604
    AZOQOV,       Fe9, 3,       O20, 1.946, 0.614,0,1.7655282350223604
    AZOQOV,       Fe9, 3,       O36, 2.018, 0.505,0,1.7655282350223604
    AZOQOV,       Fe9, 3,        O9, 2.113, 0.391,0,1.7655282350223604
    AZOQOV,       Fe9, 3,        O8, 1.889, 0.716,0,1.7655282350223604
    HOZQES,       Fe1, 3,        N1, 2.097, 0.385,0,1.7436855365387394
    HOZQES,       Fe1, 3,        N2, 2.149, 0.334,0,1.7436855365387394
    HOZQES,       Fe1, 3,        O3, 1.908, 0.680,0,1.7655282350223604
    HOZQES,       Fe1, 3,        O2, 1.901, 0.693,0,1.7655282350223604
    HOZQES,       Fe1, 3,        O1, 1.772, 0.983,0,1.7655282350223604
    ABOXOE,       Fe1, 3,        N1, 2.226, 0.272,0,1.7436855365387394
    ABOXOE,       Fe1, 3,        O5, 1.934, 0.634,0,1.7655282350223604
    ABOXOE,       Fe1, 3,        N3, 2.223, 0.274,0,1.7436855365387394
    ABOXOE,       Fe1, 3,        O3, 1.935, 0.633,0,1.7655282350223604
    ABOXOE,       Fe1, 3,        N2, 2.225, 0.272,0,1.7436855365387394
    ABOXOE,       Fe1, 3,        O1, 1.949, 0.609,0,1.7655282350223604
    MAYDEV,       Fe1, 3,       O11, 2.044, 0.471,0,1.7655282350223604
    MAYDEV,       Fe1, 3,        O9, 2.024, 0.497,0,1.7655282350223604
    MAYDEV,       Fe1, 3,        O7, 2.048, 0.466,0,1.7655282350223604
    MAYDEV,       Fe1, 3,        O5, 1.979, 0.562,0,1.7655282350223604
    MAYDEV,       Fe1, 3,        O3, 2.082, 0.425,0,1.7655282350223604
    MAYDEV,       Fe1, 3,        O1, 1.872, 0.750,0,1.7655282350223604
  DASDUW10,       Fe2, 3,       N11, 2.142, 0.341,0,1.7436855365387394
  DASDUW10,       Fe2, 3,        N9, 2.220, 0.276,0,1.7436855365387394
  DASDUW10,       Fe2, 3,        O5, 2.038, 0.479,0,1.7655282350223604
  DASDUW10,       Fe2, 3,        O4, 2.039, 0.478,0,1.7655282350223604
  DASDUW10,       Fe2, 3,        O1, 1.808, 0.892,0,1.7655282350223604
  DASDUW10,       Fe2, 3,        N7, 2.123, 0.359,0,1.7436855365387394
  DASDUW10,       Fe1, 3,        O2, 2.059, 0.452,0,1.7655282350223604
  DASDUW10,       Fe1, 3,        N1, 2.136, 0.346,0,1.7436855365387394
  DASDUW10,       Fe1, 3,        N3, 2.207, 0.286,0,1.7436855365387394
  DASDUW10,       Fe1, 3,        O3, 2.037, 0.480,0,1.7655282350223604
  DASDUW10,       Fe1, 3,        N5, 2.113, 0.369,0,1.7436855365387394
  DASDUW10,       Fe1, 3,        O1, 1.806, 0.896,0,1.7655282350223604
    DUFNUO,       Fe3, 3,        O9, 2.000, 0.531,0,1.7655282350223604
    DUFNUO,       Fe3, 3,        O8, 2.014, 0.511,0,1.7655282350223604
    DUFNUO,       Fe3, 3,        O7, 1.999, 0.532,0,1.7655282350223604
    DUFNUO,       Fe3, 3,        O6, 1.995, 0.538,0,1.7655282350223604
    DUFNUO,       Fe3, 3,       O3B, 1.971, 0.574,0,1.7655282350223604
    DUFNUO,       Fe3, 3,        O2, 1.970, 0.575,0,1.7655282350223604
    DUFNUO,       Fe2, 3,       O5B, 2.012, 0.514,0,1.7655282350223604
    DUFNUO,       Fe2, 3,       O4B, 2.015, 0.510,0,1.7655282350223604
    DUFNUO,       Fe2, 3,       O1B, 1.969, 0.577,0,1.7655282350223604
    DUFNUO,       Fe2, 3,        O5, 2.012, 0.514,0,1.7655282350223604
    DUFNUO,       Fe2, 3,        O4, 2.015, 0.510,0,1.7655282350223604
    DUFNUO,       Fe2, 3,        O1, 1.969, 0.577,0,1.7655282350223604
    DUFNUO,       Fe1, 3,        O3, 1.960, 0.591,0,1.7655282350223604
