    EJOZIM,       Fe1, 2,        N6, 1.971, 0.326,0,1.5564335810398906
    UDUTUI,       Fe1, 2,        O8, 2.083, 0.348,0,1.6926885007958257
    UDUTUI,       Fe1, 2,        O7, 2.059, 0.372,0,1.6926885007958257
    UDUTUI,       Fe1, 2,        O6, 2.064, 0.367,0,1.6926885007958257
    UDUTUI,       Fe1, 2,        O5, 2.070, 0.361,0,1.6926885007958257
    UDUTUI,       Fe1, 2,        O2, 2.129, 0.308,0,1.6926885007958257
    UDUTUI,       Fe1, 2,        O1, 2.139, 0.299,0,1.6926885007958257
    UDUTUI,       Fe2, 2,        N1, 1.979, 0.319,0,1.5564335810398906
    UDUTUI,       Fe2, 2,        N2, 1.933, 0.361,0,1.5564335810398906
    UDUTUI,       Fe2, 2,        N3, 1.983, 0.316,0,1.5564335810398906
    UDUTUI,       Fe2, 2,        N4, 1.965, 0.331,0,1.5564335810398906
    UDUTUI,       Fe2, 2,        N5, 1.925, 0.369,0,1.5564335810398906
    UDUTUI,       Fe2, 2,        N6, 1.961, 0.335,0,1.5564335810398906
    UDUTUI,       Fe3, 2,       O12, 2.078, 0.353,0,1.6926885007958257
    UDUTUI,       Fe3, 2,       O11, 2.063, 0.368,0,1.6926885007958257
    UDUTUI,       Fe3, 2,       O10, 2.058, 0.373,0,1.6926885007958257
    UDUTUI,       Fe3, 2,        O9, 2.070, 0.361,0,1.6926885007958257
    UDUTUI,       Fe3, 2,        O4, 2.131, 0.306,0,1.6926885007958257
    UDUTUI,       Fe3, 2,        O3, 2.124, 0.312,0,1.6926885007958257
    JEGZAW,       Fe1, 2,       N3E, 2.004, 0.298,0,1.5564335810398906
    JEGZAW,       Fe1, 2,       N2E, 1.999, 0.302,0,1.5564335810398906
    JEGZAW,       Fe1, 2,       N1E, 2.002, 0.300,0,1.5564335810398906
    JEGZAW,       Fe1, 2,        N1, 2.002, 0.300,0,1.5564335810398906
    JEGZAW,       Fe1, 2,        N2, 1.999, 0.302,0,1.5564335810398906
    JEGZAW,       Fe1, 2,        N3, 2.004, 0.298,0,1.5564335810398906
    DADHUN,       Fe2, 2,       N13, 2.016, 0.289,0,1.5564335810398906
    DADHUN,       Fe2, 2,       N10, 2.007, 0.296,0,1.5564335810398906
    DADHUN,       Fe2, 2,      N13A, 2.016, 0.289,0,1.5564335810398906
    DADHUN,       Fe2, 2,      N10A, 2.007, 0.296,0,1.5564335810398906
    DADHUN,       Fe2, 2,       N14, 1.962, 0.334,0,1.5564335810398906
    DADHUN,       Fe2, 2,      N14A, 1.962, 0.334,0,1.5564335810398906
  YACNEW02,       Fe1, 2,        N8, 1.980, 0.318,0,1.5564335810398906
  YACNEW02,       Fe1, 2,        N1, 2.113, 0.222,0,1.5564335810398906
  YACNEW02,       Fe1, 2,        N2, 2.116, 0.220,0,1.5564335810398906
  YACNEW02,       Fe1, 2,        N3, 1.957, 0.339,0,1.5564335810398906
  YACNEW02,       Fe1, 2,        N5, 1.893, 0.403,0,1.5564335810398906
  YACNEW02,       Fe1, 2,        N6, 1.869, 0.430,0,1.5564335810398906
    DADHUN,       Fe1, 2,       N3A, 1.988, 0.311,0,1.5564335810398906
    DADHUN,       Fe1, 2,        N8, 1.944, 0.351,0,1.5564335810398906
    DADHUN,       Fe1, 2,       N1A, 1.990, 0.310,0,1.5564335810398906
    DADHUN,       Fe1, 2,       N8A, 1.944, 0.351,0,1.5564335810398906
    DADHUN,       Fe1, 2,        N1, 1.990, 0.310,0,1.5564335810398906
    DADHUN,       Fe1, 2,        N3, 1.988, 0.311,0,1.5564335810398906
    TOBNON,       Fe1, 2,        N1, 2.002, 0.300,0,1.5564335810398906
    TOBNON,       Fe1, 2,        N2, 2.109, 0.225,0,1.5564335810398906
    TOBNON,       Fe1, 2,        N3, 2.089, 0.237,0,1.5564335810398906
    TOBNON,       Fe1, 2,        N4, 1.999, 0.302,0,1.5564335810398906
    TOBNON,       Fe1, 2,        N5, 2.083, 0.241,0,1.5564335810398906
    TOBNON,       Fe1, 2,        N6, 1.976, 0.322,0,1.5564335810398906
    TUFJOU,       Fe2, 2,       O8A, 2.086, 0.345,0,1.6926885007958257
    TUFJOU,       Fe2, 2,        O7, 2.054, 0.377,0,1.6926885007958257
    TUFJOU,       Fe2, 2,        O6, 1.969, 0.474,0,1.6926885007958257
    TUFJOU,       Fe2, 2,        O5, 1.986, 0.453,0,1.6926885007958257
    TUFJOU,       Fe2, 2,        O2, 2.009, 0.425,0,1.6926885007958257
    TUFJOU,       Fe2, 2,        O1, 1.958, 0.488,0,1.6926885007958257
    TUFJOU,       Fe1, 2,        N1, 1.976, 0.322,0,1.5564335810398906
    TUFJOU,       Fe1, 2,        N2, 1.979, 0.319,0,1.5564335810398906
    TUFJOU,       Fe1, 2,        N3, 1.976, 0.322,0,1.5564335810398906
    TUFJOU,       Fe1, 2,        N4, 1.988, 0.311,0,1.5564335810398906
    TUFJOU,       Fe1, 2,        N5, 1.982, 0.317,0,1.5564335810398906
    TUFJOU,       Fe1, 2,        N6, 1.985, 0.314,0,1.5564335810398906
    PYAMFE,       Fe1, 2,       N4B, 1.996, 0.305,0,1.5564335810398906
    PYAMFE,       Fe1, 2,       N2B, 1.981, 0.317,0,1.5564335810398906
    PYAMFE,       Fe1, 2,       N3B, 1.970, 0.327,0,1.5564335810398906
    PYAMFE,       Fe1, 2,        N2, 1.981, 0.317,0,1.5564335810398906
    PYAMFE,       Fe1, 2,        N3, 1.970, 0.327,0,1.5564335810398906
    PYAMFE,       Fe1, 2,        N4, 1.996, 0.305,0,1.5564335810398906
  LUXMOH01,       Fe1, 2,        N9, 1.968, 0.329,0,1.5564335810398906
  LUXMOH01,       Fe1, 2,        N1, 1.900, 0.395,0,1.5564335810398906
  LUXMOH01,       Fe1, 2,        N2, 1.977, 0.321,0,1.5564335810398906
  LUXMOH01,       Fe1, 2,        N4, 1.981, 0.317,0,1.5564335810398906
  LUXMOH01,       Fe1, 2,        N6, 1.902, 0.393,0,1.5564335810398906
  LUXMOH01,       Fe1, 2,        N7, 1.958, 0.338,0,1.5564335810398906
  KOKKUR02,       Fe1, 2,        N8, 2.037, 0.273,0,1.5564335810398906
  KOKKUR02,       Fe1, 2,        N1, 1.985, 0.314,0,1.5564335810398906
  KOKKUR02,       Fe1, 2,        N2, 1.881, 0.416,0,1.5564335810398906
  KOKKUR02,       Fe1, 2,        N4, 2.027, 0.280,0,1.5564335810398906
  KOKKUR02,       Fe1, 2,        N5, 1.988, 0.311,0,1.5564335810398906
  KOKKUR02,       Fe1, 2,        N6, 1.871, 0.427,0,1.5564335810398906
    VAQDAU,       Fe1, 2,       O14, 2.130, 0.307,0,1.6926885007958257
    VAQDAU,       Fe1, 2,       O12, 2.110, 0.324,0,1.6926885007958257
    VAQDAU,       Fe1, 2,        O9, 2.128, 0.308,0,1.6926885007958257
    VAQDAU,       Fe1, 2,        O8, 2.144, 0.295,0,1.6926885007958257
    VAQDAU,       Fe1, 2,        O7, 2.145, 0.295,0,1.6926885007958257
    VAQDAU,       Fe1, 2,        O2, 2.100, 0.333,0,1.6926885007958257
    PUTWOR,       Fe1, 2,       N2A, 1.971, 0.326,0,1.5564335810398906
