    JUNNIP,       Fe2, 3,       Cl8, 2.180, 0.761,0,2.0788006126595278
    JUNNIP,       Fe1, 3,       Cl4, 2.168, 0.786,0,2.0788006126595278
    JUNNIP,       Fe1, 3,       Cl1, 2.193, 0.734,0,2.0788006126595278
    JUNNIP,       Fe1, 3,       Cl2, 2.190, 0.740,0,2.0788006126595278
    JUNNIP,       Fe1, 3,       Cl3, 2.187, 0.746,0,2.0788006126595278
    BETRUO,       Fe3, 3,       Cl5, 2.179, 0.763,0,2.0788006126595278
    BETRUO,       Fe3, 3,       Cl6, 2.200, 0.721,0,2.0788006126595278
    BETRUO,       Fe3, 3,       Cl7, 2.175, 0.771,0,2.0788006126595278
    BETRUO,       Fe3, 3,       Cl8, 2.187, 0.746,0,2.0788006126595278
    BETRUO,       Fe2, 3,       Cl4, 2.179, 0.763,0,2.0788006126595278
    BETRUO,       Fe2, 3,       Cl1, 2.193, 0.734,0,2.0788006126595278
    BETRUO,       Fe2, 3,       Cl2, 2.180, 0.761,0,2.0788006126595278
    BETRUO,       Fe2, 3,       Cl3, 2.192, 0.736,0,2.0788006126595278
    GACSOU,       Fe1, 3,       Cl4, 2.205, 0.711,0,2.0788006126595278
    GACSOU,       Fe1, 3,       Cl1, 2.177, 0.767,0,2.0788006126595278
    GACSOU,       Fe1, 3,       Cl2, 2.200, 0.721,0,2.0788006126595278
    GACSOU,       Fe1, 3,       Cl3, 2.177, 0.767,0,2.0788006126595278
    AFEFUN,       Fe1, 3,       Cl4, 2.177, 0.767,0,2.0788006126595278
    AFEFUN,       Fe1, 3,       Cl1, 2.185, 0.750,0,2.0788006126595278
    AFEFUN,       Fe1, 3,       Cl2, 2.198, 0.725,0,2.0788006126595278
    AFEFUN,       Fe1, 3,       Cl3, 2.192, 0.736,0,2.0788006126595278
    FUGDER,       Fe1, 3,       Cl4, 2.194, 0.732,0,2.0788006126595278
    FUGDER,       Fe1, 3,       Cl1, 2.192, 0.736,0,2.0788006126595278
    FUGDER,       Fe1, 3,       Cl2, 2.187, 0.746,0,2.0788006126595278
    FUGDER,       Fe1, 3,       Cl3, 2.186, 0.748,0,2.0788006126595278
    SIHBAM,       Fe1, 3,       Cl4, 2.196, 0.729,0,2.0788006126595278
    SIHBAM,       Fe1, 3,       Cl5, 2.137, 0.854,0,2.0788006126595278
    SIHBAM,       Fe1, 3,       Cl2, 2.193, 0.734,0,2.0788006126595278
    SIHBAM,       Fe1, 3,       Cl3, 2.185, 0.750,0,2.0788006126595278
    TITWIC,       Fe1, 3,       Cl4, 2.188, 0.744,0,2.0788006126595278
    TITWIC,       Fe1, 3,       Cl1, 2.169, 0.784,0,2.0788006126595278
    TITWIC,       Fe1, 3,       Cl2, 2.142, 0.843,0,2.0788006126595278
    TITWIC,       Fe1, 3,       Cl3, 2.158, 0.807,0,2.0788006126595278
    HAYPAA,       Fe1, 3,       Cl4, 2.182, 0.757,0,2.0788006126595278
    HAYPAA,       Fe1, 3,       Cl1, 2.180, 0.761,0,2.0788006126595278
    HAYPAA,       Fe1, 3,       Cl2, 2.161, 0.801,0,2.0788006126595278
    HAYPAA,       Fe1, 3,       Cl3, 2.169, 0.784,0,2.0788006126595278
    SURRED,       Fe1, 3,       Cl4, 2.185, 0.750,0,2.0788006126595278
    SURRED,       Fe1, 3,       Cl1, 2.186, 0.748,0,2.0788006126595278
    SURRED,       Fe1, 3,       Cl2, 2.218, 0.686,0,2.0788006126595278
    SURRED,       Fe1, 3,       Cl3, 2.187, 0.746,0,2.0788006126595278
    HAZZEO,       Fe1, 3,       Cl4, 2.165, 0.792,0,2.0788006126595278
    HAZZEO,       Fe1, 3,       Cl1, 2.157, 0.809,0,2.0788006126595278
    HAZZEO,       Fe1, 3,       Cl2, 2.177, 0.767,0,2.0788006126595278
    HAZZEO,       Fe1, 3,       Cl3, 2.202, 0.717,0,2.0788006126595278
    FETRIF,       Fe1, 3,       Cl4, 2.155, 0.814,0,2.0788006126595278
    FETRIF,       Fe1, 3,       Cl1, 2.199, 0.723,0,2.0788006126595278
    FETRIF,       Fe1, 3,       Cl2, 2.156, 0.812,0,2.0788006126595278
    FETRIF,       Fe1, 3,       Cl3, 2.172, 0.777,0,2.0788006126595278
  GEPYIJ10,       Fe2, 3,       Cl5, 2.200, 0.721,0,2.0788006126595278
  GEPYIJ10,       Fe2, 3,       Cl6, 2.175, 0.771,0,2.0788006126595278
  GEPYIJ10,       Fe2, 3,       Cl7, 2.198, 0.725,0,2.0788006126595278
  GEPYIJ10,       Fe2, 3,       Cl8, 2.195, 0.730,0,2.0788006126595278
  GEPYIJ10,       Fe1, 3,       Cl4, 2.189, 0.742,0,2.0788006126595278
  GEPYIJ10,       Fe1, 3,       Cl1, 2.207, 0.707,0,2.0788006126595278
  GEPYIJ10,       Fe1, 3,       Cl2, 2.182, 0.757,0,2.0788006126595278
  GEPYIJ10,       Fe1, 3,       Cl3, 2.191, 0.738,0,2.0788006126595278
    GIRTOQ,       Fe1, 3,       Cl4, 2.191, 0.738,0,2.0788006126595278
    GIRTOQ,       Fe1, 3,       Cl1, 2.198, 0.725,0,2.0788006126595278
    GIRTOQ,       Fe1, 3,       Cl2, 2.201, 0.719,0,2.0788006126595278
    GIRTOQ,       Fe1, 3,       Cl3, 2.186, 0.748,0,2.0788006126595278
    GIFRIX,       Fe2, 3,       Cl4, 2.179, 0.763,0,2.0788006126595278
    GIFRIX,       Fe2, 3,       Cl1, 2.202, 0.717,0,2.0788006126595278
    GIFRIX,       Fe2, 3,       Cl2, 2.205, 0.711,0,2.0788006126595278
    GIFRIX,       Fe2, 3,       Cl3, 2.195, 0.730,0,2.0788006126595278
    KURPET,       Fe1, 3,       Cl4, 2.173, 0.775,0,2.0788006126595278
    KURPET,       Fe1, 3,       Cl5, 2.209, 0.703,0,2.0788006126595278
    KURPET,       Fe1, 3,       Cl2, 2.195, 0.730,0,2.0788006126595278
    KURPET,       Fe1, 3,       Cl3, 2.185, 0.750,0,2.0788006126595278
    ECOPAN,       Fe1, 3,       Cl4, 2.195, 0.730,0,2.0788006126595278
    ECOPAN,       Fe1, 3,       Cl1, 2.174, 0.773,0,2.0788006126595278
    ECOPAN,       Fe1, 3,       Cl2, 2.182, 0.757,0,2.0788006126595278
    ECOPAN,       Fe1, 3,       Cl3, 2.188, 0.744,0,2.0788006126595278
  OBEFOQ03,       Fe1, 3,       Cl4, 2.185, 0.750,0,2.0788006126595278
  OBEFOQ03,       Fe1, 3,       Cl1, 2.194, 0.732,0,2.0788006126595278
  OBEFOQ03,       Fe1, 3,       Cl2, 2.209, 0.703,0,2.0788006126595278
  OBEFOQ03,       Fe1, 3,       Cl3, 2.183, 0.755,0,2.0788006126595278
    GAFHAX,       Fe1, 3,       Cl4, 2.157, 0.809,0,2.0788006126595278
    GAFHAX,       Fe1, 3,       Cl1, 2.187, 0.746,0,2.0788006126595278
    GAFHAX,       Fe1, 3,       Cl2, 2.196, 0.729,0,2.0788006126595278
    GAFHAX,       Fe1, 3,       Cl3, 2.188, 0.744,0,2.0788006126595278
    YOZRAG,       Fe1, 3,      Cl3A, 2.264, 0.606,0,2.0788006126595278
    YOZRAG,       Fe1, 3,      Cl2A, 2.371, 0.454,0,2.0788006126595278
    YOZRAG,       Fe1, 3,       Cl1, 2.283, 0.576,0,2.0788006126595278
    YOZRAG,       Fe1, 3,       Cl2, 2.371, 0.454,0,2.0788006126595278
    YOZRAG,       Fe1, 3,       Cl3, 2.264, 0.606,0,2.0788006126595278
    XEMZUK,       Fe1, 3,      Cl2A, 2.242, 0.643,0,2.0788006126595278
    XEMZUK,       Fe1, 3,       Cl3, 2.244, 0.640,0,2.0788006126595278
    XEMZUK,       Fe1, 3,       Cl1, 2.438, 0.379,0,2.0788006126595278
    XEMZUK,       Fe1, 3,       Cl2, 2.242, 0.643,0,2.0788006126595278
    XEMZUK,       Fe1, 3,      Cl1A, 2.438, 0.379,0,2.0788006126595278
    YEDSOP,       Fe1, 3,       Cl4, 2.158, 0.807,0,2.0788006126595278
    YEDSOP,       Fe1, 3,       Cl1, 2.184, 0.753,0,2.0788006126595278
    YEDSOP,       Fe1, 3,       Cl2, 2.195, 0.730,0,2.0788006126595278
    YEDSOP,       Fe1, 3,       Cl3, 2.166, 0.790,0,2.0788006126595278
    YUNNAW,       Fe1, 3,       Cl4, 2.168, 0.786,0,2.0788006126595278
    YUNNAW,       Fe1, 3,       Cl1, 2.159, 0.805,0,2.0788006126595278
    YUNNAW,       Fe1, 3,       Cl2, 2.166, 0.790,0,2.0788006126595278
    YUNNAW,       Fe1, 3,       Cl3, 2.164, 0.794,0,2.0788006126595278
    RAKLOE,       Fe2, 3,      Cl2I, 2.259, 0.614,0,2.0788006126595278
    RAKLOE,       Fe2, 3,      Cl2O, 2.259, 0.614,0,2.0788006126595278
    RAKLOE,       Fe2, 3,      Cl2F, 2.259, 0.614,0,2.0788006126595278
    RAKLOE,       Fe2, 3,       Cl2, 2.259, 0.614,0,2.0788006126595278
    BALACF,       Fe1, 3,       Cl4, 2.191, 0.738,0,2.0788006126595278
    BALACF,       Fe1, 3,       Cl1, 2.189, 0.742,0,2.0788006126595278
    BALACF,       Fe1, 3,       Cl2, 2.197, 0.727,0,2.0788006126595278
    BALACF,       Fe1, 3,       Cl3, 2.187, 0.746,0,2.0788006126595278
    ZANRAJ,       Fe1, 3,       Cl4, 2.179, 0.763,0,2.0788006126595278
    ZANRAJ,       Fe1, 3,       Cl1, 2.164, 0.794,0,2.0788006126595278
    ZANRAJ,       Fe1, 3,       Cl2, 2.186, 0.748,0,2.0788006126595278
