    QEJWUX,       Fe1, 2,       Cl3, 2.392, 0.359,0,2.0128891419042092
    EXOVUI,       Fe2, 2,      Cl1G, 2.280, 0.486,0,2.0128891419042092
    EXOVUI,       Fe2, 2,      Cl2G, 2.365, 0.386,0,2.0128891419042092
    EXOVUI,       Fe2, 2,       Cl1, 2.280, 0.486,0,2.0128891419042092
    EXOVUI,       Fe2, 2,       Cl2, 2.365, 0.386,0,2.0128891419042092
    TMAFEC,       Fe1, 2,      Cl2B, 2.296, 0.465,0,2.0128891419042092
    TMAFEC,       Fe1, 2,       Cl1, 2.290, 0.473,0,2.0128891419042092
    TMAFEC,       Fe1, 2,       Cl2, 2.296, 0.465,0,2.0128891419042092
    TMAFEC,       Fe1, 2,       Cl3, 2.289, 0.474,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl4, 2.296, 0.465,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl5, 2.324, 0.431,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl6, 2.302, 0.458,0,2.0128891419042092
    NEMDUE,       Fe7, 2,       Cl3, 2.331, 0.423,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,      Cl2B, 2.249, 0.528,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,      Cl1B, 2.258, 0.516,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,       Cl1, 2.258, 0.516,0,2.0128891419042092
    ADUPAQ,       Fe1, 2,       Cl2, 2.249, 0.528,0,2.0128891419042092
