    XAKREG,       Fe2, 3,        N6, 1.988, 0.484,0,1.7194345035746008
    XAKREG,       Fe2, 3,       N5A, 2.003, 0.465,0,1.7194345035746008
    LOCWUV,       Fe1, 3,        N1, 2.032, 0.430,0,1.7194345035746008
    LOCWUV,       Fe1, 3,        N2, 2.020, 0.444,0,1.7194345035746008
    LOCWUV,       Fe1, 3,        N3, 2.027, 0.436,0,1.7194345035746008
    LOCWUV,       Fe1, 3,        N4, 2.183, 0.286,0,1.7194345035746008
    LOCWUV,       Fe1, 3,        N5, 1.737, 0.954,0,1.7194345035746008
    GATWII,       Fe1, 3,       N11, 1.945, 0.544,0,1.7194345035746008
    GATWII,       Fe1, 3,        N9, 1.947, 0.541,0,1.7194345035746008
    GATWII,       Fe1, 3,        N1, 1.949, 0.538,0,1.7194345035746008
    GATWII,       Fe1, 3,        N3, 1.945, 0.544,0,1.7194345035746008
    GATWII,       Fe1, 3,        N5, 1.947, 0.541,0,1.7194345035746008
    GATWII,       Fe1, 3,        N7, 1.943, 0.546,0,1.7194345035746008
    VORTUR,       Fe1, 3,       N3A, 1.952, 0.533,0,1.7194345035746008
    VORTUR,       Fe1, 3,       N2A, 1.959, 0.523,0,1.7194345035746008
    VORTUR,       Fe1, 3,       N1A, 1.958, 0.525,0,1.7194345035746008
    VORTUR,       Fe1, 3,        N1, 1.958, 0.525,0,1.7194345035746008
    VORTUR,       Fe1, 3,        N2, 1.959, 0.523,0,1.7194345035746008
    VORTUR,       Fe1, 3,        N3, 1.952, 0.533,0,1.7194345035746008
    WEFFUJ,       Fe1, 3,        N1, 2.099, 0.358,0,1.7194345035746008
    WEFFUJ,       Fe1, 3,        N2, 2.107, 0.351,0,1.7194345035746008
    WEFFUJ,       Fe1, 3,        N3, 2.146, 0.316,0,1.7194345035746008
    WEFFUJ,       Fe1, 3,        N4, 2.090, 0.367,0,1.7194345035746008
    WEFFUJ,       Fe1, 3,        N5, 2.113, 0.345,0,1.7194345035746008
