  XUMWAE01,       Fe2, 2,        N9, 1.940, 0.358,0,1.5594708834007494
  XUMWAE01,       Fe2, 2,       N6B, 1.986, 0.316,0,1.5594708834007494
  XUMWAE01,       Fe2, 2,       N9B, 1.940, 0.358,0,1.5594708834007494
  XUMWAE01,       Fe2, 2,       N5B, 2.012, 0.294,0,1.5594708834007494
  XUMWAE01,       Fe2, 2,        N5, 2.012, 0.294,0,1.5594708834007494
  XUMWAE01,       Fe2, 2,        N6, 1.986, 0.316,0,1.5594708834007494
    YURSAF,       Fe1, 2,        N1, 1.875, 0.426,0,1.5594708834007494
    YURSAF,       Fe1, 2,        N2, 1.894, 0.405,0,1.5594708834007494
    YURSAF,       Fe1, 2,        N3, 1.981, 0.320,0,1.5594708834007494
    YURSAF,       Fe1, 2,        N4, 1.982, 0.319,0,1.5594708834007494
    YURSAF,       Fe1, 2,        N5, 1.899, 0.399,0,1.5594708834007494
    YURSAF,       Fe1, 2,        N6, 1.957, 0.342,0,1.5594708834007494
    ACOMAG,       Fe1, 2,        N1, 1.974, 0.326,0,1.5594708834007494
    ACOMAG,       Fe1, 2,        N2, 1.884, 0.416,0,1.5594708834007494
    ACOMAG,       Fe1, 2,        N3, 1.979, 0.322,0,1.5594708834007494
    ACOMAG,       Fe1, 2,        N4, 1.984, 0.317,0,1.5594708834007494
    ACOMAG,       Fe1, 2,        N5, 1.883, 0.417,0,1.5594708834007494
    ACOMAG,       Fe1, 2,        N6, 1.985, 0.317,0,1.5594708834007494
    VUJRIC,       Fe1, 2,       N2A, 1.995, 0.308,0,1.5594708834007494
    VUJRIC,       Fe1, 2,       N4A, 1.982, 0.319,0,1.5594708834007494
    VUJRIC,       Fe1, 2,        N2, 1.995, 0.308,0,1.5594708834007494
    VUJRIC,       Fe1, 2,        N4, 1.982, 0.319,0,1.5594708834007494
    VUJRIC,       Fe1, 2,        N5, 1.991, 0.312,0,1.5594708834007494
    VUJRIC,       Fe1, 2,       N5A, 1.991, 0.312,0,1.5594708834007494
    IYUKUJ,       Fe2, 2,       N12, 1.971, 0.329,0,1.5594708834007494
    IYUKUJ,       Fe2, 2,       N10, 1.973, 0.327,0,1.5594708834007494
    IYUKUJ,       Fe2, 2,       N11, 1.987, 0.315,0,1.5594708834007494
    IYUKUJ,       Fe2, 2,        N8, 1.976, 0.324,0,1.5594708834007494
    IYUKUJ,       Fe2, 2,        N9, 1.939, 0.359,0,1.5594708834007494
    IYUKUJ,       Fe2, 2,        N7, 1.959, 0.340,0,1.5594708834007494
  YELWUI01,       Fe2, 2,       N12, 1.978, 0.323,0,1.5594708834007494
  YELWUI01,       Fe2, 2,       N13, 2.013, 0.294,0,1.5594708834007494
  YELWUI01,       Fe2, 2,       N16, 1.991, 0.312,0,1.5594708834007494
  YELWUI01,       Fe2, 2,       N15, 1.987, 0.315,0,1.5594708834007494
  YELWUI01,       Fe2, 2,       N18, 1.996, 0.307,0,1.5594708834007494
  YELWUI01,       Fe2, 2,       N19, 2.000, 0.304,0,1.5594708834007494
    FIWXOZ,       Fe2, 2,       N11, 1.997, 0.307,0,1.5594708834007494
