    OJOGUP,       Fe1, 2,        N1, 1.961, 0.381,0,1.6035209463714926
    OJOGUP,       Fe1, 2,        N2, 1.969, 0.372,0,1.6035209463714926
    OJOGUP,       Fe1, 2,        N3, 1.967, 0.374,0,1.6035209463714926
    XOYGAU,       Fe1, 2,        N1, 1.896, 0.454,0,1.6035209463714926
    XOYGAU,       Fe1, 2,        N2, 1.898, 0.451,0,1.6035209463714926
    XOYGAU,       Fe1, 2,        N3, 1.906, 0.442,0,1.6035209463714926
    XOYGAU,       Fe1, 2,        N4, 1.906, 0.442,0,1.6035209463714926
    UKEZAM,       Fe1, 2,        N1, 1.638, 0.911,0,1.6035209463714926
    UKEZAM,       Fe1, 2,        N2, 2.094, 0.266,0,1.6035209463714926
    UKEZAM,       Fe1, 2,       N1A, 1.638, 0.911,0,1.6035209463714926
    UKEZAM,       Fe1, 2,       N2A, 2.094, 0.266,0,1.6035209463714926
    NEBLIR,       Fe1, 2,        N1, 1.973, 0.368,0,1.6035209463714926
    NEBLIR,       Fe1, 2,        N2, 1.968, 0.373,0,1.6035209463714926
    NEBLIR,       Fe1, 2,        N3, 1.975, 0.366,0,1.6035209463714926
    NEBLIR,       Fe1, 2,        N4, 1.967, 0.374,0,1.6035209463714926
    NEBLIR,       Fe1, 2,        N5, 1.963, 0.378,0,1.6035209463714926
    NEBLIR,       Fe1, 2,        N6, 1.964, 0.377,0,1.6035209463714926
  XUKNUN01,       Fe1, 2,        N1, 1.937, 0.406,0,1.6035209463714926
  XUKNUN01,       Fe1, 2,        N2, 1.944, 0.398,0,1.6035209463714926
  XUKNUN01,       Fe1, 2,        N3, 1.999, 0.343,0,1.6035209463714926
  XUKNUN01,       Fe1, 2,        N4, 2.009, 0.334,0,1.6035209463714926
  XUKNUN01,       Fe1, 2,        N5, 2.006, 0.337,0,1.6035209463714926
  XUKNUN01,       Fe1, 2,        N6, 2.003, 0.340,0,1.6035209463714926
    NANMIZ,       Fe1, 2,        N8, 1.956, 0.386,0,1.6035209463714926
    NANMIZ,       Fe1, 2,        N1, 1.997, 0.345,0,1.6035209463714926
    NANMIZ,       Fe1, 2,        N2, 1.964, 0.377,0,1.6035209463714926
    NANMIZ,       Fe1, 2,        N4, 1.977, 0.364,0,1.6035209463714926
    NANMIZ,       Fe1, 2,        N5, 1.976, 0.365,0,1.6035209463714926
    NANMIZ,       Fe1, 2,        N7, 1.951, 0.391,0,1.6035209463714926
    HAXHOE,       Fe1, 2,        N1, 2.184, 0.208,0,1.6035209463714926
    HAXHOE,       Fe1, 2,        N2, 2.150, 0.228,0,1.6035209463714926
    HAXHOE,       Fe1, 2,        N3, 2.268, 0.166,0,1.6035209463714926
    HAXHOE,       Fe1, 2,        N4, 2.222, 0.188,0,1.6035209463714926
    HAXHOE,       Fe1, 2,        N5, 2.242, 0.178,0,1.6035209463714926
    HAXHOE,       Fe1, 2,        N6, 2.061, 0.290,0,1.6035209463714926
    CICHUS,       Fe2, 2,       N13, 1.996, 0.346,0,1.6035209463714926
    CICHUS,       Fe2, 2,       N16, 1.990, 0.352,0,1.6035209463714926
