    DECLAZ,       Fe2, 2,        O5, 2.023, 0.459,0,1.7352693218182855
    DECLAZ,       Fe2, 2,        N2, 2.092, 0.272,0,1.6102359194747378
    DECLAZ,       Fe2, 2,        O8, 2.130, 0.344,0,1.7352693218182855
    IXAQII,       Fe1, 2,        N1, 2.116, 0.255,0,1.6102359194747378
    IXAQII,       Fe1, 2,        N2, 2.257, 0.174,0,1.6102359194747378
    IXAQII,       Fe1, 2,       O1J, 1.947, 0.564,0,1.7352693218182855
    IXAQII,       Fe1, 2,        O1, 1.947, 0.564,0,1.7352693218182855
    IXAQII,       Fe1, 2,       N2J, 2.257, 0.174,0,1.6102359194747378
    KULREO,       Fe1, 2,        N1, 2.218, 0.193,0,1.6102359194747378
    KULREO,       Fe1, 2,        N3, 2.076, 0.284,0,1.6102359194747378
    KULREO,       Fe1, 2,        O3, 2.102, 0.371,0,1.7352693218182855
    KULREO,       Fe1, 2,        N5, 2.126, 0.248,0,1.6102359194747378
    KULREO,       Fe1, 2,        O1, 1.964, 0.539,0,1.7352693218182855
  LUWSUS07,       Fe2, 2,       N12, 1.955, 0.394,0,1.6102359194747378
  LUWSUS07,       Fe2, 2,       N10, 1.995, 0.353,0,1.6102359194747378
  LUWSUS07,       Fe2, 2,       N11, 1.949, 0.400,0,1.6102359194747378
  LUWSUS07,       Fe2, 2,        N8, 1.958, 0.391,0,1.6102359194747378
  LUWSUS07,       Fe2, 2,        N9, 1.968, 0.380,0,1.6102359194747378
  LUWSUS07,       Fe2, 2,        N7, 1.975, 0.373,0,1.6102359194747378
    NASWAH,       Fe1, 2,        N8, 2.200, 0.203,0,1.6102359194747378
    NASWAH,       Fe1, 2,        N9, 2.117, 0.254,0,1.6102359194747378
    NASWAH,       Fe1, 2,       N8A, 2.200, 0.203,0,1.6102359194747378
    NASWAH,       Fe1, 2,       N6A, 2.207, 0.199,0,1.6102359194747378
    NASWAH,       Fe1, 2,       N9A, 2.117, 0.254,0,1.6102359194747378
    NASWAH,       Fe1, 2,        N6, 2.207, 0.199,0,1.6102359194747378
    NOKFOJ,       Fe1, 2,        N1, 2.164, 0.224,0,1.6102359194747378
    NOKFOJ,       Fe1, 2,        N2, 2.164, 0.224,0,1.6102359194747378
    NOKFOJ,       Fe1, 2,        N3, 2.232, 0.186,0,1.6102359194747378
    NOKFOJ,       Fe1, 2,        N4, 2.264, 0.171,0,1.6102359194747378
    NOKFOJ,       Fe1, 2,        N5, 2.310, 0.151,0,1.6102359194747378
    NOKFOJ,       Fe1, 2,        N6, 2.164, 0.224,0,1.6102359194747378
    OVEPAH,       Fe1, 2,       N3A, 2.130, 0.245,0,1.6102359194747378
    OVEPAH,       Fe1, 2,       N1A, 2.148, 0.234,0,1.6102359194747378
    OVEPAH,       Fe1, 2,        N1, 2.148, 0.234,0,1.6102359194747378
    OVEPAH,       Fe1, 2,        N3, 2.130, 0.245,0,1.6102359194747378
    OVEPAH,       Fe1, 2,        N5, 2.203, 0.201,0,1.6102359194747378
    OVEPAH,       Fe1, 2,       N5A, 2.203, 0.201,0,1.6102359194747378
    NALQEW,       Fe1, 2,        N1, 1.903, 0.453,0,1.6102359194747378
    NALQEW,       Fe1, 2,        N2, 1.911, 0.444,0,1.6102359194747378
    NALQEW,       Fe1, 2,        N3, 1.898, 0.459,0,1.6102359194747378
    NALQEW,       Fe1, 2,        N4, 1.905, 0.451,0,1.6102359194747378
    NALQEW,       Fe1, 2,        N5, 2.055, 0.301,0,1.6102359194747378
    NALQEW,       Fe1, 2,        N6, 2.047, 0.307,0,1.6102359194747378
    NUTCUB,       Fe1, 2,        N8, 2.107, 0.261,0,1.6102359194747378
    NUTCUB,       Fe1, 2,        N9, 2.095, 0.270,0,1.6102359194747378
    NUTCUB,       Fe1, 2,       N4A, 2.200, 0.203,0,1.6102359194747378
    NUTCUB,       Fe1, 2,        N1, 2.211, 0.197,0,1.6102359194747378
    NUTCUB,       Fe1, 2,        N3, 2.222, 0.191,0,1.6102359194747378
    NUTCUB,       Fe1, 2,       N5A, 2.212, 0.197,0,1.6102359194747378
    JIXLEH,       Fe1, 2,       O2B, 2.134, 0.340,0,1.7352693218182855
    JIXLEH,       Fe1, 2,       O1B, 1.883, 0.671,0,1.7352693218182855
    JIXLEH,       Fe1, 2,        O1, 1.883, 0.671,0,1.7352693218182855
    JIXLEH,       Fe1, 2,        O2, 2.134, 0.340,0,1.7352693218182855
    ZACNOG,       Fe2, 2,       O15, 2.105, 0.368,0,1.7352693218182855
    ZACNOG,       Fe2, 2,       O13, 2.070, 0.405,0,1.7352693218182855
    ZACNOG,       Fe2, 2,       O11, 2.205, 0.281,0,1.7352693218182855
    ZACNOG,       Fe2, 2,        O9, 2.106, 0.367,0,1.7352693218182855
    ZACNOG,       Fe2, 2,        O7, 2.100, 0.373,0,1.7352693218182855
    ZACNOG,       Fe2, 2,        O5, 2.216, 0.273,0,1.7352693218182855
    ZACNOG,       Fe3, 2,       O16, 2.040, 0.439,0,1.7352693218182855
    ZACNOG,       Fe3, 2,       O14, 2.107, 0.366,0,1.7352693218182855
    ZACNOG,       Fe3, 2,       O12, 2.281, 0.229,0,1.7352693218182855
    ZACNOG,       Fe3, 2,       O11, 2.184, 0.297,0,1.7352693218182855
    ZACNOG,       Fe3, 2,        N3, 2.296, 0.157,0,1.6102359194747378
    ZACNOG,       Fe3, 2,        N4, 2.149, 0.233,0,1.6102359194747378
  ODICAG01,       Fe1, 2,       N10, 1.991, 0.357,0,1.6102359194747378
  ODICAG01,       Fe1, 2,       N11, 1.990, 0.358,0,1.6102359194747378
  ODICAG01,       Fe1, 2,        N2, 1.999, 0.350,0,1.6102359194747378
  ODICAG01,       Fe1, 2,        N3, 1.994, 0.354,0,1.6102359194747378
  ODICAG01,       Fe1, 2,        N6, 2.007, 0.342,0,1.6102359194747378
  ODICAG01,       Fe1, 2,        N7, 2.005, 0.344,0,1.6102359194747378
  XUMWAE01,       Fe2, 2,        N9, 1.940, 0.410,0,1.6102359194747378
  XUMWAE01,       Fe2, 2,       N6B, 1.986, 0.362,0,1.6102359194747378
  XUMWAE01,       Fe2, 2,       N9B, 1.940, 0.410,0,1.6102359194747378
  XUMWAE01,       Fe2, 2,       N5B, 2.012, 0.338,0,1.6102359194747378
  XUMWAE01,       Fe2, 2,        N5, 2.012, 0.338,0,1.6102359194747378
  XUMWAE01,       Fe2, 2,        N6, 1.986, 0.362,0,1.6102359194747378
