 refcode  , lab1  , dist1 , lab2  , ano2 
 AVIYUZ   , Fe1   , 2.091 , N3    ,    7
 AVIYUZ   , Fe1   , 2.058 , N1    ,    7
 AVIYUZ   , Fe1   , 1.997 , O2    ,    8
 AWICEO   , Fe1   , 1.937 , N1    ,    7
 AWICEO   , Fe1   , 1.946 , N4    ,    7
 AWICEO   , Fe1   , 2.076 , N3    ,    7
 AWICEO   , Fe1   , 1.972 , N6    ,    7
 AWICEO   , Fe1   , 2.067 , N5    ,    7
 AWICEO   , Fe1   , 2.004 , N2    ,    7
 AWIDAM   , Fe4   , 2.458 , Br1   ,   35
 AWIDAM   , Fe4   , 2.435 , Br4   ,   35
 AWIDAM   , Fe4   ,  2.47 , Br2   ,   35
 AWIDAM   , Fe4   , 2.495 , Br3   ,   35
 AWIDAM   , Fe5   ,  2.48 , Br8   ,   35
 AWIDAM   , Fe5   , 2.471 , Br5   ,   35
 AWIDAM   , Fe5   , 2.461 , Br6   ,   35
 AWIDAM   , Fe5   , 2.449 , Br7   ,   35
 AXAKIT01 , Fe1   , 2.166 , N5    ,    7
 AXAKIT01 , Fe1   , 2.169 , N1    ,    7
 AXAKIT01 , Fe1   , 2.166 , N5A   ,    7
 AXAKIT01 , Fe1   , 2.169 , N1A   ,    7
 AXAKIT01 , Fe1   , 2.172 , N3A   ,    7
 AXAKIT01 , Fe1   , 2.172 , N3    ,    7
 AXISOQ   , Fe1   , 1.969 , O2    ,    8
 AXISOQ   , Fe1   , 1.953 , O1    ,    8
 AXISOQ   , Fe1   , 2.199 , N2    ,    7
 AXISOQ   , Fe1   , 2.092 , O2B   ,    8
 AXISOQ   , Fe1   , 2.031 , N1    ,    7
 AZUHUY   , Fe1   , 1.966 , N2    ,    7
 AZUHUY   , Fe1   , 1.961 , N3    ,    7
 AZUHUY   , Fe1   , 1.957 , N8    ,    7
 AZUHUY   , Fe1   , 1.953 , N4    ,    7
 AZUHUY   , Fe1   , 1.966 , N5    ,    7
 AZUHUY   , Fe1   , 1.967 , N1    ,    7
 BACVOR   , Fe1   ,  1.98 , N2    ,    7
 BACVOR   , Fe1   ,  1.99 , N1A   ,    7
 BACVOR   , Fe1   , 1.981 , N2A   ,    7
 BACVOR   , Fe1   , 1.989 , N1B   ,    7
 BACVOR   , Fe1   , 1.989 , N1    ,    7
 BACVOR   , Fe1   , 1.982 , N2B   ,    7
