    ABOKIL,       Fe1, 3,       O3F, 1.984, 0.530,0,1.7489501731195423
    RADXAX,       Fe5, 3,       O12, 2.056, 0.436,0,1.7489501731195423
    RADXAX,       Fe5, 3,       O11, 2.068, 0.422,0,1.7489501731195423
    RADXAX,       Fe5, 3,        O9, 2.021, 0.479,0,1.7489501731195423
    RADXAX,       Fe5, 3,        O8, 1.963, 0.561,0,1.7489501731195423
    RADXAX,       Fe5, 3,        O7, 1.966, 0.556,0,1.7489501731195423
    RADXAX,       Fe5, 3,       O9A, 2.019, 0.482,0,1.7489501731195423
    RADXAX,       Fe2, 3,       O3A, 2.004, 0.502,0,1.7489501731195423
    RADXAX,       Fe2, 3,        O6, 2.046, 0.448,0,1.7489501731195423
    RADXAX,       Fe2, 3,        O4, 2.055, 0.437,0,1.7489501731195423
    RADXAX,       Fe2, 3,        O3, 2.020, 0.481,0,1.7489501731195423
    RADXAX,       Fe2, 3,        O2, 1.978, 0.538,0,1.7489501731195423
    RADXAX,       Fe2, 3,        O1, 1.965, 0.558,0,1.7489501731195423
    LAJGOT,       Fe1, 3,        O6, 1.983, 0.531,0,1.7489501731195423
    LAJGOT,       Fe1, 3,        O5, 1.980, 0.536,0,1.7489501731195423
    LAJGOT,       Fe1, 3,        O4, 2.009, 0.495,0,1.7489501731195423
    LAJGOT,       Fe1, 3,        O3, 1.971, 0.549,0,1.7489501731195423
    LAJGOT,       Fe1, 3,        O2, 2.002, 0.505,0,1.7489501731195423
    LAJGOT,       Fe1, 3,        O1, 1.999, 0.509,0,1.7489501731195423
    OCUWIU,       Fe2, 3,       O13, 1.949, 0.582,0,1.7489501731195423
    OCUWIU,       Fe2, 3,      O10A, 2.010, 0.494,0,1.7489501731195423
    OCUWIU,       Fe2, 3,      O11A, 1.963, 0.561,0,1.7489501731195423
    OCUWIU,       Fe2, 3,        O9, 2.040, 0.455,0,1.7489501731195423
    OCUWIU,       Fe2, 3,        O8, 2.022, 0.478,0,1.7489501731195423
    OCUWIU,       Fe2, 3,        O7, 2.022, 0.478,0,1.7489501731195423
    OCUWIU,       Fe1, 3,        O6, 2.000, 0.507,0,1.7489501731195423
    OCUWIU,       Fe1, 3,        O5, 2.014, 0.489,0,1.7489501731195423
    OCUWIU,       Fe1, 3,        O4, 1.974, 0.544,0,1.7489501731195423
    OCUWIU,       Fe1, 3,        O3, 1.999, 0.509,0,1.7489501731195423
    OCUWIU,       Fe1, 3,        O2, 1.996, 0.513,0,1.7489501731195423
    OCUWIU,       Fe1, 3,        O1, 2.011, 0.493,0,1.7489501731195423
    DAJWAM,       Fe1, 3,       O10, 2.022, 0.478,0,1.7489501731195423
    DAJWAM,       Fe1, 3,        O9, 1.996, 0.513,0,1.7489501731195423
    DAJWAM,       Fe1, 3,        O6, 1.962, 0.562,0,1.7489501731195423
    DAJWAM,       Fe1, 3,        O5, 1.982, 0.533,0,1.7489501731195423
    DAJWAM,       Fe1, 3,        O2, 2.000, 0.507,0,1.7489501731195423
    DAJWAM,       Fe1, 3,        O1, 2.016, 0.486,0,1.7489501731195423
