    HIYTOZ,       Fe1, 2,        O4, 2.245, 0.226,0,1.6955119165400609
    HIYTOZ,       Fe1, 2,        O3, 2.291, 0.200,0,1.6955119165400609
    HIYTOZ,       Fe1, 2,        O2, 2.269, 0.212,0,1.6955119165400609
    HIYTOZ,       Fe1, 2,        O1, 2.294, 0.198,0,1.6955119165400609
  RAYTOB01,       Fe3, 2,       O17, 2.245, 0.226,0,1.6955119165400609
  RAYTOB01,       Fe3, 2,       O16, 2.208, 0.250,0,1.6955119165400609
  RAYTOB01,       Fe3, 2,       O15, 2.251, 0.223,0,1.6955119165400609
  RAYTOB01,       Fe3, 2,       O20, 2.064, 0.369,0,1.6955119165400609
  RAYTOB01,       Fe3, 2,       O18, 2.238, 0.231,0,1.6955119165400609
  RAYTOB01,       Fe3, 2,       O19, 2.181, 0.269,0,1.6955119165400609
  RAYTOB01,       Fe3, 2,       O21, 2.059, 0.374,0,1.6955119165400609
    EGENAG,       Fe1, 2,       O13, 2.006, 0.432,0,1.6955119165400609
    EGENAG,       Fe1, 2,       O12, 2.008, 0.430,0,1.6955119165400609
    EGENAG,       Fe1, 2,       O11, 1.998, 0.442,0,1.6955119165400609
    EGENAG,       Fe1, 2,      O11E, 1.998, 0.442,0,1.6955119165400609
    EGENAG,       Fe1, 2,      O12E, 2.008, 0.430,0,1.6955119165400609
    EGENAG,       Fe1, 2,      O13E, 2.006, 0.432,0,1.6955119165400609
    SATYOC,       Fe2, 2,       O11, 2.201, 0.255,0,1.6955119165400609
    SATYOC,       Fe2, 2,        O4, 1.971, 0.475,0,1.6955119165400609
    SATYOC,       Fe2, 2,        O2, 2.122, 0.316,0,1.6955119165400609
    SATYOC,       Fe2, 2,        O1, 1.960, 0.489,0,1.6955119165400609
    SATYOC,       Fe2, 2,        O8, 1.954, 0.497,0,1.6955119165400609
    ZIYYIP,       Fe1, 2,       O4A, 2.022, 0.414,0,1.6955119165400609
    ZIYYIP,       Fe1, 2,       O5A, 2.023, 0.413,0,1.6955119165400609
    ZIYYIP,       Fe1, 2,       O3A, 1.971, 0.475,0,1.6955119165400609
    ZIYYIP,       Fe1, 2,        O5, 2.023, 0.413,0,1.6955119165400609
    ZIYYIP,       Fe1, 2,        O4, 2.022, 0.414,0,1.6955119165400609
    ZIYYIP,       Fe1, 2,        O3, 1.971, 0.475,0,1.6955119165400609
    ZIYYIP,       Fe2, 2,       O1A, 2.025, 0.410,0,1.6955119165400609
    ZIYYIP,       Fe2, 2,       O3A, 1.976, 0.469,0,1.6955119165400609
    ZIYYIP,       Fe2, 2,        O3, 1.976, 0.469,0,1.6955119165400609
    ZIYYIP,       Fe2, 2,        O2, 2.000, 0.439,0,1.6955119165400609
    ZIYYIP,       Fe2, 2,        O1, 2.025, 0.410,0,1.6955119165400609
    ZIYYIP,       Fe2, 2,       O2A, 2.000, 0.439,0,1.6955119165400609
    LEFWOI,       Fe2, 2,       O12, 2.046, 0.388,0,1.6955119165400609
    LEFWOI,       Fe2, 2,       O11, 2.066, 0.367,0,1.6955119165400609
    LEFWOI,       Fe2, 2,        O6, 2.212, 0.248,0,1.6955119165400609
    LEFWOI,       Fe2, 2,        O3, 2.093, 0.342,0,1.6955119165400609
